"",BBK01.OELB03P,BBK01.OELB03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:44,
2002-01,0.564,
2002-04,0.551,
2002-07,0.546,
2002-10,0.531,
2003-01,0.519,
2003-04,0.512,
2003-07,0.504,
2003-10,0.495,
2004-01,0.451,
2004-04,0.444,
2004-07,0.421,
2004-10,0.399,
2005-01,0.384,
2005-04,0.377,
2005-07,0.365,
2005-10,0.359,
2006-01,0.355,
2006-04,0.353,
2006-07,0.355,
2006-10,0.356,
2007-01,0.343,
2007-04,0.339,
2007-07,0.338,
2007-10,0.350,
2008-01,0.349,
2008-04,0.385,
2008-07,0.407,
2008-10,0.402,
2009-01,0.433,
2009-04,0.461,
2009-07,0.470,
2009-10,0.493,
2010-01,0.499,
2010-04,0.515,
2010-07,0.519,
2010-10,0.516,
2011-01,0.543,
2011-04,0.549,
2011-07,0.568,
2011-10,0.585,
2012-01,0.585,
2012-04,0.607,
2012-07,0.605,
2012-10,0.605,
2013-01,0.599,
2013-04,0.574,
2013-07,0.561,
2013-10,0.535,
2014-01,0.539,
2014-04,0.539,
2014-07,0.531,
