"",BBK01.OELO06K,BBK01.OELO06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:42,
2002-01,1.643,
2002-04,1.633,
2002-07,1.630,
2002-10,1.678,
2003-01,1.724,
2003-04,1.732,
2003-07,1.732,
2003-10,1.854,
2004-01,1.910,
2004-04,1.927,
2004-07,1.936,
2004-10,2.024,
2005-01,2.049,
2005-04,2.045,
2005-07,2.065,
2005-10,2.114,
2006-01,2.128,
2006-04,2.163,
2006-07,2.197,
2006-10,2.284,
2007-01,2.244,
2007-04,2.126,
2007-07,2.068,
2007-10,2.104,
2008-01,2.027,
2008-04,1.954,
2008-07,1.748,
2008-10,1.707,
2009-01,1.735,
2009-04,1.784,
2009-07,1.786,
2009-10,1.816,
2010-01,1.899,
2010-04,1.977,
2010-07,2.081,
2010-10,2.184,
2011-01,2.216,
2011-04,2.217,
2011-07,2.173,
2011-10,2.101,
2012-01,2.084,
2012-04,2.073,
2012-07,2.038,
2012-10,2.042,
2013-01,2.076,
2013-04,2.071,
2013-07,2.082,
2013-10,2.093,
2014-01,2.320,
2014-04,2.307,
2014-07,2.277,
