"",BBK01.OEAC59S,BBK01.OEAC59S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:06,
2002-01,3.473,
2002-04,3.463,
2002-07,3.455,
2002-10,3.299,
2003-01,3.249,
2003-04,3.264,
2003-07,3.240,
2003-10,3.220,
2004-01,3.162,
2004-04,3.151,
2004-07,3.133,
2004-10,3.071,
2005-01,3.069,
2005-04,3.036,
2005-07,3.018,
2005-10,2.977,
2006-01,2.937,
2006-04,2.941,
2006-07,2.934,
2006-10,2.942,
2007-01,2.908,
2007-04,2.851,
2007-07,2.867,
2007-10,2.918,
2008-01,2.889,
2008-04,2.897,
2008-07,2.910,
2008-10,2.921,
2009-01,2.921,
2009-04,3.076,
2009-07,3.103,
2009-10,3.180,
2010-01,3.157,
2010-04,3.171,
2010-07,3.180,
2010-10,3.254,
2011-01,3.231,
2011-04,3.260,
2011-07,3.263,
2011-10,3.322,
2012-01,3.307,
2012-04,3.710,
2012-07,3.744,
2012-10,3.764,
2013-01,3.787,
2013-04,3.809,
2013-07,3.845,
2013-10,3.864,
2014-01,3.864,
2014-04,3.870,
2014-07,3.901,
