"",BBK01.OEAF25M,BBK01.OEAF25M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:33,
2002-01,8.538,
2002-04,8.737,
2002-07,9.050,
2002-10,9.287,
2003-01,9.312,
2003-04,9.348,
2003-07,9.634,
2003-10,9.605,
2004-01,9.444,
2004-04,9.596,
2004-07,9.772,
2004-10,8.938,
2005-01,8.785,
2005-04,8.894,
2005-07,8.322,
2005-10,8.452,
2006-01,8.443,
2006-04,8.795,
2006-07,9.221,
2006-10,8.731,
2007-01,8.703,
2007-04,8.198,
2007-07,8.452,
2007-10,8.468,
2008-01,7.706,
2008-04,7.701,
2008-07,7.190,
2008-10,7.400,
2009-01,7.915,
2009-04,8.764,
2009-07,9.323,
2009-10,9.852,
2010-01,10.024,
2010-04,10.080,
2010-07,10.438,
2010-10,10.709,
2011-01,10.283,
2011-04,10.048,
2011-07,9.839,
2011-10,9.972,
2012-01,10.165,
2012-04,10.664,
2012-07,10.980,
2012-10,11.296,
2013-01,10.841,
2013-04,11.375,
2013-07,11.327,
2013-10,11.724,
2014-01,12.008,
2014-04,11.398,
2014-07,11.946,
