"",BBK01.OEYB16I,BBK01.OEYB16I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:43,
2002-01,6.103,
2002-04,5.932,
2002-07,5.232,
2002-10,5.098,
2003-01,4.931,
2003-04,4.831,
2003-07,5.414,
2003-10,5.335,
2004-01,5.226,
2004-04,5.126,
2004-07,5.418,
2004-10,5.308,
2005-01,5.159,
2005-04,5.088,
2005-07,5.218,
2005-10,4.888,
2006-01,5.051,
2006-04,5.451,
2006-07,5.704,
2006-10,5.351,
2007-01,5.320,
2007-04,5.141,
2007-07,5.012,
2007-10,4.602,
2008-01,4.524,
2008-04,4.382,
2008-07,4.265,
2008-10,3.970,
2009-01,3.892,
2009-04,3.778,
2009-07,3.679,
2009-10,3.609,
2010-01,3.460,
2010-04,3.142,
2010-07,3.044,
2010-10,2.993,
2011-01,2.899,
2011-04,2.825,
2011-07,2.743,
2011-10,2.652,
2012-01,2.582,
2012-04,2.561,
2012-07,2.515,
2012-10,2.451,
2013-01,2.375,
2013-04,2.324,
2013-07,2.272,
2013-10,2.225,
2014-01,2.200,
2014-04,2.149,
2014-07,2.128,
