"",BBK01.OEAE04S,BBK01.OEAE04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:48,
2002-01,0.851,
2002-04,0.851,
2002-07,0.864,
2002-10,0.863,
2003-01,0.778,
2003-04,0.795,
2003-07,0.824,
2003-10,0.789,
2004-01,0.785,
2004-04,0.796,
2004-07,0.755,
2004-10,0.704,
2005-01,0.686,
2005-04,0.685,
2005-07,0.674,
2005-10,0.694,
2006-01,0.704,
2006-04,0.717,
2006-07,0.734,
2006-10,0.747,
2007-01,0.763,
2007-04,0.745,
2007-07,0.826,
2007-10,0.847,
2008-01,0.840,
2008-04,0.849,
2008-07,0.844,
2008-10,0.845,
2009-01,0.466,
2009-04,0.551,
2009-07,0.571,
2009-10,0.546,
2010-01,0.576,
2010-04,0.609,
2010-07,0.630,
2010-10,0.697,
2011-01,0.719,
2011-04,0.707,
2011-07,0.733,
2011-10,0.765,
2012-01,0.780,
2012-04,0.800,
2012-07,0.836,
2012-10,0.846,
2013-01,0.842,
2013-04,0.870,
2013-07,0.870,
2013-10,0.869,
2014-01,0.900,
2014-04,0.886,
2014-07,0.885,
