"",BBK01.PQU358,BBK01.PQU358_FLAGS
"",Lending to domestic self-employed persons / Total / Building and loan asscociations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:59,
1999-01,9.490,
1999-04,9.311,
1999-07,9.319,
1999-10,9.423,
2000-01,9.422,
2000-04,9.464,
2000-07,9.547,
2000-10,9.684,
2001-01,9.688,
2001-04,9.770,
2001-07,9.796,
2001-10,9.828,
2002-01,9.749,
2002-04,9.753,
2002-07,9.834,
2002-10,9.841,
2003-01,9.806,
2003-04,9.735,
2003-07,9.703,
2003-10,9.563,
2004-01,9.479,
2004-04,9.475,
2004-07,9.321,
2004-10,9.237,
2005-01,9.126,
2005-04,9.030,
2005-07,8.938,
2005-10,8.899,
2006-01,8.795,
2006-04,8.783,
2006-07,8.824,
2006-10,8.920,
2007-01,8.995,
2007-04,9.060,
2007-07,9.180,
2007-10,9.302,
2008-01,9.391,
2008-04,9.561,
2008-07,9.774,
2008-10,9.883,
2009-01,9.940,
2009-04,10.048,
2009-07,10.179,
2009-10,10.341,
2010-01,10.372,
2010-04,10.443,
2010-07,10.477,
2010-10,10.516,
2011-01,10.591,
2011-04,10.690,
2011-07,10.813,
2011-10,10.927,
2012-01,11.021,
2012-04,11.111,
2012-07,11.173,
2012-10,11.209,
2013-01,11.226,
2013-04,11.404,
2013-07,11.490,
2013-10,11.541,
2014-01,11.618,
2014-04,11.695,
2014-07,11.757,
2014-10,11.734,
