"",BBK01.OEAE29M,BBK01.OEAE29M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:30,
2002-01,7.469,
2002-04,7.425,
2002-07,7.959,
2002-10,8.050,
2003-01,7.739,
2003-04,7.879,
2003-07,7.723,
2003-10,7.771,
2004-01,7.952,
2004-04,8.039,
2004-07,7.234,
2004-10,7.069,
2005-01,6.852,
2005-04,6.845,
2005-07,6.359,
2005-10,6.784,
2006-01,6.558,
2006-04,6.548,
2006-07,6.084,
2006-10,6.180,
2007-01,6.352,
2007-04,6.218,
2007-07,6.324,
2007-10,6.533,
2008-01,6.296,
2008-04,6.371,
2008-07,6.633,
2008-10,6.838,
2009-01,7.998,
2009-04,8.328,
2009-07,8.166,
2009-10,8.043,
2010-01,8.505,
2010-04,7.886,
2010-07,7.700,
2010-10,7.703,
2011-01,7.664,
2011-04,7.925,
2011-07,7.579,
2011-10,7.753,
2012-01,7.663,
2012-04,7.701,
2012-07,7.744,
2012-10,7.919,
2013-01,7.840,
2013-04,8.211,
2013-07,8.331,
2013-10,8.447,
2014-01,8.369,
2014-04,8.434,
2014-07,8.601,
