"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.CH.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.CH.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Switzerland / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:40,
2009-09,44,
2009-10,37,
2009-11,33,
2009-12,32,
2010-01,115,
2010-02,34,
2010-03,29,
2010-04,27,
2010-05,27,
2010-06,28,
2010-07,9,
2010-08,19,
2010-09,19,
2010-10,18,
2010-11,21,
2010-12,25,
2011-01,23,
2011-02,20,
2011-03,20,
2011-04,19,
2011-05,19,
2011-06,19,
2011-07,20,
2011-08,52,
2011-09,41,
2011-10,715,
2011-11,71,
2011-12,50,
2012-01,57,
2012-02,56,
2012-03,63,
2012-04,66,
2012-05,64,
2012-06,58,
2012-07,59,
2012-08,53,
2012-09,29,
2012-10,29,
2012-11,12,
2012-12,12,
2013-01,10,
2013-02,10,
2013-03,9,
2013-04,9,
2013-05,9,
2013-06,7,
2013-07,5,
2013-08,6,
2013-09,19,
2013-10,34,
2013-11,33,
2013-12,31,
2014-01,30,
2014-02,58,
2014-03,42,
2014-04,64,
2014-05,69,
2014-06,68,
2014-07,70,
2014-08,71,
2014-09,72,
2014-10,74,
2014-11,71,
