"",BBK01.OEAI01I,BBK01.OEAI01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:04,
2002-01,83.626,
2002-04,82.549,
2002-07,82.961,
2002-10,84.214,
2003-01,84.391,
2003-04,83.454,
2003-07,80.545,
2003-10,82.890,
2004-01,83.691,
2004-04,83.316,
2004-07,84.885,
2004-10,86.762,
2005-01,94.673,
2005-04,92.202,
2005-07,92.785,
2005-10,96.399,
2006-01,97.923,
2006-04,100.234,
2006-07,100.915,
2006-10,102.986,
2007-01,102.580,
2007-04,106.316,
2007-07,110.777,
2007-10,113.651,
2008-01,113.195,
2008-04,119.466,
2008-07,119.234,
2008-10,126.470,
2009-01,135.852,
2009-04,136.883,
2009-07,138.569,
2009-10,137.472,
2010-01,145.171,
2010-04,140.916,
2010-07,147.635,
2010-10,149.986,
2011-01,153.981,
2011-04,160.193,
2011-07,165.915,
2011-10,165.037,
2012-01,171.438,
2012-04,177.062,
2012-07,177.093,
2012-10,177.502,
2013-01,185.826,
2013-04,188.297,
2013-07,177.140,
2013-10,176.796,
2014-01,177.648,
2014-04,180.908,
2014-07,181.381,
