"",BBK01.OECI01H,BBK01.OECI01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:20,
2002-01,88.744,
2002-04,90.228,
2002-07,88.958,
2002-10,90.424,
2003-01,88.353,
2003-04,90.654,
2003-07,91.626,
2003-10,89.636,
2004-01,93.238,
2004-04,93.289,
2004-07,91.631,
2004-10,90.938,
2005-01,106.751,
2005-04,105.561,
2005-07,106.894,
2005-10,105.952,
2006-01,107.367,
2006-04,108.270,
2006-07,109.448,
2006-10,108.726,
2007-01,117.511,
2007-04,119.820,
2007-07,125.752,
2007-10,129.405,
2008-01,132.757,
2008-04,137.320,
2008-07,143.787,
2008-10,159.770,
2009-01,159.487,
2009-04,156.316,
2009-07,142.013,
2009-10,134.713,
2010-01,137.024,
2010-04,139.253,
2010-07,144.797,
2010-10,140.462,
2011-01,143.461,
2011-04,149.114,
2011-07,150.601,
2011-10,150.151,
2012-01,151.910,
2012-04,153.449,
2012-07,162.102,
2012-10,144.795,
2013-01,147.620,
2013-04,154.435,
2013-07,132.148,
2013-10,132.874,
2014-01,133.672,
2014-04,133.402,
2014-07,129.988,
