"",BBK01.OELB04T,BBK01.OELB04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:30,
2002-01,1.708,
2002-04,1.740,
2002-07,1.762,
2002-10,1.787,
2003-01,1.797,
2003-04,1.821,
2003-07,1.835,
2003-10,1.867,
2004-01,1.878,
2004-04,1.898,
2004-07,1.926,
2004-10,2.011,
2005-01,1.999,
2005-04,2.012,
2005-07,2.028,
2005-10,2.052,
2006-01,2.046,
2006-04,2.062,
2006-07,2.091,
2006-10,2.076,
2007-01,2.080,
2007-04,2.096,
2007-07,2.099,
2007-10,2.102,
2008-01,2.095,
2008-04,2.110,
2008-07,2.116,
2008-10,2.138,
2009-01,2.145,
2009-04,2.186,
2009-07,2.225,
2009-10,2.273,
2010-01,2.278,
2010-04,2.317,
2010-07,2.335,
2010-10,2.344,
2011-01,2.363,
2011-04,2.386,
2011-07,2.427,
2011-10,2.456,
2012-01,2.478,
2012-04,2.713,
2012-07,2.742,
2012-10,2.772,
2013-01,2.801,
2013-04,2.805,
2013-07,2.844,
2013-10,2.878,
2014-01,2.886,
2014-04,2.929,
2014-07,2.910,
