"",BBK01.CEH0CQ,BBK01.CEH0CQ_FLAGS
"",External financing debtor: General government                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:05,
1991-01,15.1,
1991-04,8.8,
1991-07,6.5,
1991-10,21.0,
1992-01,11.0,
1992-04,-0.8,
1992-07,15.2,
1992-10,29.2,
1993-01,14.1,
1993-04,18.2,
1993-07,18.2,
1993-10,28.7,
1994-01,22.2,
1994-04,0.2,
1994-07,10.5,
1994-10,27.1,
1995-01,98.1,
1995-04,11.9,
1995-07,21.2,
1995-10,36.1,
1996-01,7.8,
1996-04,7.1,
1996-07,19.9,
1996-10,26.9,
1997-01,15.5,
1997-04,10.9,
1997-07,11.7,
1997-10,9.7,
1998-01,19.2,
1998-04,1.2,
1998-07,8.8,
1998-10,4.2,
1999-01,12.3,
1999-04,3.2,
1999-07,10.3,
1999-10,14.1,
2000-01,15.7,
2000-04,0.6,
2000-07,10.7,
2000-10,-13.2,
2001-01,-9.8,
2001-04,-4.3,
2001-07,16.1,
2001-10,13.3,
2002-01,26.5,
2002-04,2.1,
2002-07,20.4,
2002-10,9.0,
2003-01,36.6,
2003-04,14.4,
2003-07,20.3,
2003-10,19.1,
2004-01,45.2,
2004-04,8.2,
2004-07,17.4,
2004-10,-0.4,
2005-01,27.0,
2005-04,13.9,
2005-07,19.8,
2005-10,7.4,
2006-01,20.1,
2006-04,12.6,
2006-07,17.0,
2006-10,-0.7,
2007-01,6.1,
2007-04,19.2,
2007-07,-20.2,
2007-10,6.1,
2008-01,20.7,
2008-04,36.2,
2008-07,-3.7,
2008-10,18.0,
2009-01,29.1,
2009-04,64.4,
2009-07,5.6,
2009-10,11.0,
2010-01,21.0,
2010-04,40.7,
2010-07,23.4,
2010-10,201.0,
2011-01,5.2,
2011-04,12.0,
2011-07,16.0,
2011-10,-3.0,
2012-01,29.7,
2012-04,45.8,
2012-07,10.1,
2012-10,-13.2,
2013-01,-11.1,
2013-04,0.0,
2013-07,-18.7,
2013-10,18.1,
2014-01,-7.4,
