"",BBK01.OEAD06V,BBK01.OEAD06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:55,
2002-01,0.695,
2002-04,0.731,
2002-07,0.723,
2002-10,0.651,
2003-01,0.657,
2003-04,0.583,
2003-07,0.584,
2003-10,0.576,
2004-01,0.592,
2004-04,0.560,
2004-07,0.591,
2004-10,0.570,
2005-01,0.553,
2005-04,0.542,
2005-07,0.535,
2005-10,0.511,
2006-01,0.496,
2006-04,0.523,
2006-07,0.533,
2006-10,0.499,
2007-01,0.465,
2007-04,0.478,
2007-07,0.476,
2007-10,0.492,
2008-01,0.507,
2008-04,0.506,
2008-07,0.518,
2008-10,0.541,
2009-01,0.547,
2009-04,0.565,
2009-07,0.572,
2009-10,0.508,
2010-01,0.593,
2010-04,0.585,
2010-07,0.535,
2010-10,0.535,
2011-01,0.539,
2011-04,0.533,
2011-07,0.566,
2011-10,0.553,
2012-01,0.577,
2012-04,0.555,
2012-07,0.563,
2012-10,0.524,
2013-01,0.555,
2013-04,0.562,
2013-07,0.596,
2013-10,0.563,
2014-01,0.575,
2014-04,0.607,
2014-07,0.591,
