"",BBK01.CEL0J0,BBK01.CEL0J0_FLAGS
"",Total                              creditor: Households                          creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:58,
1999-01,14.9,
1999-04,28.5,
1999-07,17.3,
1999-10,22.7,
2000-01,2.2,
2000-04,18.2,
2000-07,11.5,
2000-10,11.1,
2001-01,-0.1,
2001-04,5.5,
2001-07,10.7,
2001-10,5.1,
2002-01,-3.3,
2002-04,2.1,
2002-07,7.7,
2002-10,8.9,
2003-01,-3.5,
2003-04,7.2,
2003-07,9.5,
2003-10,4.9,
2004-01,-11.0,
2004-04,5.2,
2004-07,8.2,
2004-10,-0.9,
2005-01,-13.1,
2005-04,3.0,
2005-07,3.2,
2005-10,-1.0,
2006-01,-7.6,
2006-04,1.9,
2006-07,5.2,
2006-10,-5.0,
2007-01,-9.4,
2007-04,-1.4,
2007-07,-3.2,
2007-10,-6.3,
2008-01,-9.2,
2008-04,1.3,
2008-07,-0.9,
2008-10,-5.3,
2009-01,-7.8,
2009-04,2.6,
2009-07,3.2,
2009-10,-2.7,
2010-01,-6.4,
2010-04,5.9,
2010-07,5.1,
2010-10,0.5,
2011-01,-3.7,
2011-04,4.9,
2011-07,7.0,
2011-10,5.0,
2012-01,-0.9,
2012-04,6.9,
2012-07,6.2,
2012-10,4.9,
2013-01,-3.5,
2013-04,5.8,
2013-07,8.8,
2013-10,-0.1,
2014-01,0.6,
2014-04,5.9,
2014-07,9.7,
