"",BBK01.CEFQ09,BBK01.CEFQ09_FLAGS
"",short-term time deposits                              debtor: Total           creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:13,
1999-01,7.4,
1999-04,4.2,
1999-07,5.9,
1999-10,7.5,
2000-01,4.1,
2000-04,4.6,
2000-07,8.8,
2000-10,8.8,
2001-01,5.6,
2001-04,5.9,
2001-07,8.7,
2001-10,10.0,
2002-01,9.5,
2002-04,10.1,
2002-07,16.4,
2002-10,13.8,
2003-01,16.0,
2003-04,16.4,
2003-07,16.5,
2003-10,16.4,
2004-01,10.6,
2004-04,12.6,
2004-07,6.5,
2004-10,18.6,
2005-01,3.0,
2005-04,5.0,
2005-07,0.0,
2005-10,9.2,
2006-01,10.3,
2006-04,10.8,
2006-07,11.8,
2006-10,9.9,
2007-01,12.2,
2007-04,14.8,
2007-07,18.3,
2007-10,40.7,
2008-01,45.2,
2008-04,45.9,
2008-07,67.1,
2008-10,70.2,
2009-01,62.2,
2009-04,56.4,
2009-07,47.9,
2009-10,8.6,
2010-01,7.8,
2010-04,7.5,
2010-07,8.3,
2010-10,7.5,
2011-01,8.4,
2011-04,8.4,
2011-07,12.0,
2011-10,11.6,
2012-01,10.9,
2012-04,11.5,
2012-07,10.7,
2012-10,10.1,
2013-01,9.8,
2013-04,10.3,
2013-07,10.1,
2013-10,9.9,
2014-01,9.6,
2014-04,9.1,
2014-07,9.1,
