"",BBK01.CEH2N0,BBK01.CEH2N0_FLAGS
"",Currency and deposits debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:33,
1991-01,5.9,
1991-04,-14.1,
1991-07,-3.9,
1991-10,16.7,
1992-01,0.9,
1992-04,-7.6,
1992-07,23.8,
1992-10,2.3,
1993-01,23.2,
1993-04,19.4,
1993-07,14.1,
1993-10,36.3,
1994-01,-22.8,
1994-04,-13.5,
1994-07,-5.3,
1994-10,29.8,
1995-01,-0.7,
1995-04,16.2,
1995-07,11.0,
1995-10,-7.4,
1996-01,-0.2,
1996-04,-3.8,
1996-07,-6.6,
1996-10,15.5,
1997-01,13.1,
1997-04,2.9,
1997-07,-4.3,
1997-10,17.4,
1998-01,23.9,
1998-04,15.7,
1998-07,2.1,
1998-10,-0.9,
1999-01,1.3,
1999-04,-10.6,
1999-07,2.1,
1999-10,-19.1,
2000-01,30.8,
2000-04,2.1,
2000-07,19.2,
2000-10,8.0,
2001-01,29.3,
2001-04,0.0,
2001-07,34.1,
2001-10,25.4,
2002-01,-8.5,
2002-04,53.3,
2002-07,53.6,
2002-10,29.8,
2003-01,70.7,
2003-04,69.2,
2003-07,-11.4,
2003-10,-0.3,
2004-01,31.4,
2004-04,12.1,
2004-07,31.0,
2004-10,34.6,
2005-01,69.3,
2005-04,39.7,
2005-07,24.4,
2005-10,-39.3,
2006-01,96.1,
2006-04,51.6,
2006-07,-7.7,
2006-10,36.8,
2007-01,31.7,
2007-04,93.6,
2007-07,36.0,
2007-10,9.2,
2008-01,66.5,
2008-04,-18.2,
2008-07,43.2,
2008-10,-48.4,
2009-01,-53.4,
2009-04,2.5,
2009-07,-69.1,
2009-10,15.4,
2010-01,-10.5,
2010-04,9.0,
2010-07,-0.2,
2010-10,-53.0,
2011-01,-8.5,
2011-04,21.8,
2011-07,41.1,
2011-10,-76.0,
2012-01,12.0,
2012-04,-16.6,
2012-07,16.1,
2012-10,-61.4,
2013-01,11.7,
2013-04,5.1,
2013-07,-35.5,
2013-10,7.4,
2014-01,64.9,
