"",BBFN1.M.DE.N.1.L.DK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:11,
1982-09,0.037,
1982-10,0.039,
1982-11,0.058,
1982-12,0.084,
1983-01,0.084,
1983-02,0.082,
1983-03,0.084,
1983-04,0.085,
1983-05,0.085,
1983-06,0.088,
1983-07,0.074,
1983-08,0.074,
1983-09,0.080,
1983-10,0.075,
1983-11,0.075,
1983-12,0.065,
1984-01,0.056,
1984-02,0.057,
1984-03,0.057,
1984-04,0.072,
1984-05,0.065,
1984-06,0.069,
1984-07,0.070,
1984-08,0.070,
1984-09,0.070,
1984-10,0.088,
1984-11,0.083,
1984-12,0.075,
1985-01,0.084,
1985-02,0.076,
1985-03,0.079,
1985-04,0.068,
1985-05,0.067,
1985-06,0.075,
1985-07,0.102,
1985-08,0.106,
1985-09,0.102,
1985-10,0.085,
1985-11,0.076,
1985-12,0.067,
1986-01,0.075,
1986-02,0.100,
1986-03,0.115,
1986-04,0.109,
1986-05,0.116,
1986-06,0.148,
1986-07,0.155,
1986-08,0.161,
1986-09,0.159,
1986-10,0.187,
1986-11,0.202,
1986-12,0.155,
1987-01,0.197,
1987-02,0.179,
1987-03,0.201,
1987-04,0.197,
1987-05,0.192,
1987-06,0.163,
1987-07,0.162,
1987-08,0.156,
1987-09,0.164,
1987-10,0.151,
1987-11,0.160,
1987-12,0.149,
1988-01,0.127,
1988-02,0.135,
1988-03,0.130,
1988-04,0.160,
1988-05,0.157,
1988-06,0.172,
1988-07,0.162,
1988-08,0.167,
1988-09,0.135,
1988-10,0.142,
1988-11,0.157,
1988-12,0.152,
1989-01,0.177,
1989-02,0.229,
1989-03,0.210,
1989-04,0.223,
1989-05,0.230,
1989-06,0.259,
1989-07,0.261,
1989-08,0.250,
1989-09,0.250,
1989-10,0.238,
1989-11,0.230,
1989-12,0.233,
1990-01,0.244,
1990-02,0.292,
1990-03,0.271,
1990-04,0.284,
1990-05,0.291,
1990-06,0.312,
