"",BBFB1.Q.N.DE.KR.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.KR.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:06,
1991-01,-0.446,
1991-04,-104.316,
1991-07,61.618,
1991-10,-75.024,
1992-01,-51.561,
1992-04,-167.156,
1992-07,-0.124,
1992-10,-102.480,
1993-01,44.375,
1993-04,-207.895,
1993-07,83.592,
1993-10,299.726,
1994-01,-111.171,
1994-04,29.916,
1994-07,15.809,
1994-10,136.785,
1995-01,-48.422,
1995-04,65.997,
1995-07,513.132,
1995-10,-142.111,
1996-01,-447.150,
1996-04,277.935,
1996-07,103.958,
1996-10,35.488,
1997-01,-131.823,
1997-04,291.586,
1997-07,191.224,
1997-10,-807.684,
1998-01,69.460,
1998-04,259.986,
1998-07,666.589,
1998-10,365.437,
1999-01,1114.597,
1999-04,1160.206,
1999-07,883.305,
1999-10,824.436,
2000-01,574.498,
2000-04,1256.131,
2000-07,864.471,
2000-10,1802.181,
2001-01,1166.976,
2001-04,-899.057,
2001-07,-355.266,
2001-10,1146.576,
2002-01,47.031,
2002-04,-1276.580,
2002-07,233.554,
2002-10,-47.683,
2003-01,-827.566,
2003-04,501.287,
2003-07,936.843,
2003-10,-145.152,
2004-01,-313.024,
2004-04,-864.598,
2004-07,1235.545,
2004-10,1494.832,
2005-01,965.483,
2005-04,257.083,
2005-07,1030.102,
2005-10,550.311,
2006-01,160.104,
2006-04,685.025,
2006-07,889.575,
2006-10,781.233,
2007-01,293.314,
2007-04,476.698,
2007-07,841.959,
2007-10,317.201,
2008-01,-550.816,
2008-04,-745.978,
2008-07,-472.967,
2008-10,-2088.044,
2009-01,1990.492,
2009-04,-1332.778,
2009-07,608.087,
2009-10,-949.881,
2010-01,2064.558,
2010-04,1453.908,
2010-07,130.022,
2010-10,150.594,
2011-01,483.701,
2011-04,-546.236,
2011-07,730.990,
2011-10,267.239,
2012-01,-278.204,
2012-04,-352.262,
2012-07,2657.902,
2012-10,680.229,
2013-01,-54.901,
2013-04,114.281,
2013-07,839.381,
2013-10,-471.891,
2014-01,-222.790,Provisional value
2014-04,-7.819,Provisional value
2014-07,106.245,Provisional value
2014-10,-961.065,Provisional value
