"",BBFB1.Q.N.DE.IT.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:55,
1991-01,245.404,
1991-04,-571.667,
1991-07,102.761,
1991-10,-172.182,
1992-01,77.527,
1992-04,-5.088,
1992-07,242.838,
1992-10,482.262,
1993-01,-61.008,
1993-04,896.651,
1993-07,313.249,
1993-10,606.834,
1994-01,-442.424,
1994-04,-141.371,
1994-07,-286.956,
1994-10,774.602,
1995-01,396.730,
1995-04,-197.271,
1995-07,-48.538,
1995-10,797.004,
1996-01,-1043.292,
1996-04,686.091,
1996-07,489.676,
1996-10,2269.226,
1997-01,-662.820,
1997-04,805.093,
1997-07,467.371,
1997-10,350.847,
1998-01,2192.103,
1998-04,3132.382,
1998-07,1133.236,
1998-10,4557.820,
1999-01,-315.537,
1999-04,4655.370,
1999-07,-5914.395,
1999-10,-1689.752,
2000-01,2511.118,
2000-04,-245.924,
2000-07,-3071.246,
2000-10,3752.751,
2001-01,3419.050,
2001-04,-2768.907,
2001-07,4305.073,
2001-10,346.500,
2002-01,-1940.147,
2002-04,2546.568,
2002-07,4625.137,
2002-10,1807.423,
2003-01,3228.941,
2003-04,-5027.838,
2003-07,-1749.929,
2003-10,3376.138,
2004-01,-2409.232,
2004-04,-1997.831,
2004-07,2200.202,
2004-10,5479.603,
2005-01,-4149.620,
2005-04,4885.757,
2005-07,-2402.950,
2005-10,2018.662,
2006-01,2849.463,
2006-04,771.198,
2006-07,2688.558,
2006-10,-4503.014,
2007-01,1686.773,
2007-04,17415.438,
2007-07,1134.370,
2007-10,-1050.329,
2008-01,-2190.583,
2008-04,-2531.160,
2008-07,-11632.716,
2008-10,-6856.683,
2009-01,-5452.516,
2009-04,-328.282,
2009-07,-4396.442,
2009-10,2028.645,
2010-01,-1471.710,
2010-04,4639.400,
2010-07,-4794.636,
2010-10,-910.903,
2011-01,1244.121,
2011-04,-2662.510,
2011-07,2183.797,
2011-10,-2830.676,
2012-01,12236.761,
2012-04,-1926.665,
2012-07,-1083.970,
2012-10,-1667.060,
2013-01,454.868,
2013-04,-5105.934,
2013-07,911.877,
2013-10,-1903.971,
2014-01,71.392,Provisional value
2014-04,-531.213,Provisional value
2014-07,133.743,Provisional value
2014-10,-2228.589,Provisional value
