"",BBFB1.M.N.DE.W1.S1.S1.T.B.D4O._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.D4O._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Other Primary income / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:29,
1991-01,333.584,
1991-02,68.325,
1991-03,0.189,
1991-04,128.724,
1991-05,86.848,
1991-06,194.217,
1991-07,161.369,
1991-08,74.789,
1991-09,12.041,
1991-10,-6.970,
1991-11,154.492,
1991-12,-340.993,
1992-01,95.058,
1992-02,34.375,
1992-03,-34.947,
1992-04,11.048,
1992-05,58.815,
1992-06,-10.239,
1992-07,202.528,
1992-08,131.274,
1992-09,70.230,
1992-10,62.447,
1992-11,208.582,
1992-12,-354.745,
1993-01,-47.581,
1993-02,76.016,
1993-03,19.004,
1993-04,-15.746,
1993-05,88.931,
1993-06,104.936,
1993-07,-72.993,
1993-08,-5.884,
1993-09,44.911,
1993-10,142.331,
1993-11,579.166,
1993-12,-26.604,
1994-01,31.343,
1994-02,-100.287,
1994-03,-51.606,
1994-04,-98.245,
1994-05,90.297,
1994-06,-255.084,
1994-07,-59.161,
1994-08,18.002,
1994-09,-63.049,
1994-10,1376.529,
1994-11,552.585,
1994-12,-336.619,
1995-01,-171.636,
1995-02,-212.308,
1995-03,-118.693,
1995-04,-125.836,
1995-05,42.988,
1995-06,-194.457,
1995-07,-20.632,
1995-08,-40.553,
1995-09,-130.123,
1995-10,-72.713,
1995-11,-115.961,
1995-12,2561.925,
1996-01,-79.041,
1996-02,179.405,
1996-03,-138.441,
1996-04,-42.022,
1996-05,78.821,
1996-06,-147.982,
1996-07,-83.034,
1996-08,-67.917,
1996-09,-128.108,
1996-10,-54.667,
1996-11,114.837,
1996-12,2667.739,
1997-01,-192.841,
1997-02,210.356,
1997-03,-94.372,
1997-04,-96.942,
1997-05,81.795,
1997-06,-105.598,
1997-07,-33.483,
1997-08,-44.232,
1997-09,-137.918,
1997-10,-108.055,
1997-11,-72.239,
1997-12,2777.429,
1998-01,214.312,
1998-02,-3.722,
1998-03,-128.076,
1998-04,-90.507,
1998-05,105.043,
1998-06,-123.734,
1998-07,-9.632,
1998-08,-52.295,
1998-09,-126.965,
1998-10,-109.090,
1998-11,-6.497,
1998-12,2776.191,
1999-01,-20.362,
1999-02,67.433,
1999-03,-67.696,
1999-04,-26.176,
1999-05,177.682,
1999-06,-167.039,
1999-07,-64.494,
1999-08,-63.162,
1999-09,-105.623,
1999-10,-57.560,
1999-11,15.212,
1999-12,2761.217,
2000-01,198.619,
2000-02,65.780,
2000-03,-86.504,
2000-04,-36.603,
2000-05,209.456,
2000-06,-218.029,
2000-07,-94.239,
2000-08,-163.958,
2000-09,-171.465,
2000-10,-246.150,
2000-11,-213.060,
