"",BBK01.CEHK01,BBK01.CEHK01_FLAGS
"",Other equity debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:22,
1991-01,-0.5,
1991-04,1.9,
1991-07,1.6,
1991-10,2.5,
1992-01,0.5,
1992-04,1.1,
1992-07,0.5,
1992-10,1.8,
1993-01,-0.6,
1993-04,1.3,
1993-07,1.3,
1993-10,0.1,
1994-01,0.1,
1994-04,1.6,
1994-07,0.2,
1994-10,5.2,
1995-01,-8.9,
1995-04,2.2,
1995-07,4.9,
1995-10,5.1,
1996-01,-0.5,
1996-04,1.4,
1996-07,0.1,
1996-10,4.8,
1997-01,1.0,
1997-04,-0.2,
1997-07,2.5,
1997-10,5.9,
1998-01,-0.2,
1998-04,-6.5,
1998-07,7.7,
1998-10,6.8,
1999-01,7.6,
1999-04,5.7,
1999-07,-1.8,
1999-10,20.1,
2000-01,15.2,
2000-04,8.3,
2000-07,7.1,
2000-10,10.8,
2001-01,-12.3,
2001-04,-3.2,
2001-07,16.7,
2001-10,-5.9,
2002-01,-2.3,
2002-04,-17.2,
2002-07,-3.7,
2002-10,-0.2,
2003-01,3.7,
2003-04,-16.0,
2003-07,5.6,
2003-10,13.5,
2004-01,-23.1,
2004-04,3.8,
2004-07,5.0,
2004-10,2.3,
2005-01,-0.9,
2005-04,0.6,
2005-07,11.2,
2005-10,-11.1,
2006-01,3.2,
2006-04,8.8,
2006-07,19.5,
2006-10,27.6,
2007-01,-2.0,
2007-04,5.5,
2007-07,8.5,
2007-10,0.4,
2008-01,11.5,
2008-04,12.0,
2008-07,-8.5,
2008-10,-14.0,
2009-01,11.2,
2009-04,10.7,
2009-07,3.4,
2009-10,2.5,
2010-01,31.8,
2010-04,8.7,
2010-07,4.9,
2010-10,7.2,
2011-01,-0.1,
2011-04,31.1,
2011-07,1.6,
2011-10,11.1,
2012-01,9.4,
2012-04,13.3,
2012-07,13.4,
2012-10,-11.9,
2013-01,13.0,
2013-04,-1.0,
2013-07,4.4,
2013-10,0.7,
2014-01,5.1,
