"",BBFB1.Q.N.DE.HK.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.HK.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Other investment / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:58,
1991-01,-424.762,
1991-04,-86.035,
1991-07,172.795,
1991-10,-182.536,
1992-01,85.681,
1992-04,160.651,
1992-07,99.062,
1992-10,98.895,
1993-01,-359.803,
1993-04,538.816,
1993-07,-143.253,
1993-10,-263.388,
1994-01,319.639,
1994-04,1321.455,
1994-07,580.278,
1994-10,-268.286,
1995-01,-162.970,
1995-04,35.469,
1995-07,-95.632,
1995-10,144.941,
1996-01,1168.216,
1996-04,397.430,
1996-07,-328.972,
1996-10,-781.885,
1997-01,-166.669,
1997-04,1150.493,
1997-07,226.768,
1997-10,153.191,
1998-01,442.825,
1998-04,1433.976,
1998-07,127.972,
1998-10,169.205,
1999-01,331.549,
1999-04,889.981,
1999-07,13.775,
1999-10,4305.127,
2000-01,-1028.993,
2000-04,1185.610,
2000-07,-129.869,
2000-10,-874.984,
2001-01,1352.895,
2001-04,-330.830,
2001-07,-1087.446,
2001-10,2116.556,
2002-01,-952.543,
2002-04,-24.858,
2002-07,-1016.458,
2002-10,-2836.346,
2003-01,-56.833,
2003-04,-129.191,
2003-07,-2792.059,
2003-10,-807.331,
2004-01,98.979,
2004-04,-1132.071,
2004-07,265.293,
2004-10,-113.591,
2005-01,-294.133,
2005-04,574.642,
2005-07,637.292,
2005-10,525.910,
2006-01,-303.333,
2006-04,-1611.693,
2006-07,1853.891,
2006-10,65.701,
2007-01,-956.681,
2007-04,1330.460,
2007-07,1903.454,
2007-10,3141.338,
2008-01,-3718.558,
2008-04,458.990,
2008-07,-114.623,
2008-10,1390.630,
2009-01,-81.245,
2009-04,-272.462,
2009-07,252.456,
2009-10,1664.598,
2010-01,-688.191,
2010-04,-155.965,
2010-07,-1622.968,
2010-10,1494.109,
2011-01,-556.617,
2011-04,-1196.932,
2011-07,-762.822,
2011-10,3824.465,
2012-01,-2308.502,
2012-04,2418.851,
2012-07,2499.985,
2012-10,-925.488,
2013-01,-2807.287,
2013-04,-1648.778,
2013-07,-1150.075,
2013-10,-168.630,
2014-01,933.014,Provisional value
2014-04,889.559,Provisional value
2014-07,-622.609,Provisional value
2014-10,2841.969,Provisional value
