"",BBK01.OEXI03S,BBK01.OEXI03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:45,
2002-01,0.616,
2002-04,0.551,
2002-07,0.514,
2002-10,0.378,
2003-01,0.374,
2003-04,0.354,
2003-07,0.357,
2003-10,0.341,
2004-01,0.305,
2004-04,0.271,
2004-07,0.262,
2004-10,0.260,
2005-01,0.235,
2005-04,0.259,
2005-07,0.248,
2005-10,0.315,
2006-01,0.345,
2006-04,0.401,
2006-07,0.441,
2006-10,0.453,
2007-01,0.561,
2007-04,0.632,
2007-07,0.735,
2007-10,0.806,
2008-01,0.877,
2008-04,0.922,
2008-07,0.956,
2008-10,0.821,
2009-01,0.381,
2009-04,0.262,
2009-07,0.204,
2009-10,0.162,
2010-01,0.165,
2010-04,0.170,
2010-07,0.144,
2010-10,0.160,
2011-01,0.207,
2011-04,0.211,
2011-07,0.231,
2011-10,0.713,
2012-01,0.915,
2012-04,1.101,
2012-07,1.202,
2012-10,1.242,
2013-01,0.957,
2013-04,1.296,
2013-07,1.239,
2013-10,1.205,
2014-01,1.188,
2014-04,1.184,
2014-07,1.120,
