"",BBK01.OEAA12H,BBK01.OEAA12H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:47,
2002-01,0.738,
2002-04,0.601,
2002-07,0.572,
2002-10,0.570,
2003-01,0.562,
2003-04,0.523,
2003-07,0.530,
2003-10,0.590,
2004-01,0.486,
2004-04,0.407,
2004-07,0.417,
2004-10,0.461,
2005-01,0.451,
2005-04,0.408,
2005-07,0.394,
2005-10,0.454,
2006-01,0.384,
2006-04,0.375,
2006-07,0.333,
2006-10,0.303,
2007-01,0.274,
2007-04,0.306,
2007-07,0.275,
2007-10,0.282,
2008-01,0.204,
2008-04,0.219,
2008-07,0.136,
2008-10,0.288,
2009-01,0.182,
2009-04,0.112,
2009-07,0.100,
2009-10,0.109,
2010-01,0.202,
2010-04,0.087,
2010-07,0.077,
2010-10,0.186,
2011-01,0.080,
2011-04,0.076,
2011-07,0.092,
2011-10,0.160,
2012-01,0.102,
2012-04,0.075,
2012-07,0.075,
2012-10,0.084,
2013-01,0.048,
2013-04,0.069,
2013-07,0.043,
2013-10,0.054,
2014-01,0.034,
2014-04,0.039,
2014-07,0.039,
