"",BBK01.OEBK02J,BBK01.OEBK02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:57,
2002-01,0.258,
2002-04,0.265,
2002-07,0.272,
2002-10,0.272,
2003-01,0.272,
2003-04,0.258,
2003-07,0.280,
2003-10,0.304,
2004-01,0.296,
2004-04,0.293,
2004-07,0.408,
2004-10,0.300,
2005-01,0.302,
2005-04,0.322,
2005-07,0.302,
2005-10,0.308,
2006-01,0.298,
2006-04,0.303,
2006-07,0.273,
2006-10,0.289,
2007-01,0.276,
2007-04,0.297,
2007-07,0.269,
2007-10,0.289,
2008-01,0.259,
2008-04,0.280,
2008-07,0.269,
2008-10,0.291,
2009-01,0.349,
2009-04,0.371,
2009-07,0.421,
2009-10,0.407,
2010-01,0.429,
2010-04,0.433,
2010-07,0.386,
2010-10,0.405,
2011-01,0.395,
2011-04,0.394,
2011-07,0.419,
2011-10,0.449,
2012-01,0.479,
2012-04,0.487,
2012-07,0.485,
2012-10,0.515,
2013-01,0.547,
2013-04,0.557,
2013-07,0.576,
2013-10,0.589,
2014-01,0.612,
2014-04,0.606,
2014-07,0.613,
