"",BBK01.PQK358,BBK01.PQK358_FLAGS
"",Lending to domestic self-employed persons / Total / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:56,
1968-10,0.074,
1969-01,0.076,
1969-04,0.075,
1969-07,0.080,
1969-10,0.095,
1970-01,0.096,
1970-04,0.094,
1970-07,0.102,
1970-10,0.110,
1971-01,0.108,
1971-04,0.113,
1971-07,0.128,
1971-10,0.132,
1972-01,0.128,
1972-04,0.130,
1972-07,0.139,
1972-10,0.160,
1973-01,0.167,
1973-04,0.170,
1973-07,0.174,
1973-10,0.215,
1974-01,0.217,
1974-04,0.221,
1974-07,0.236,
1974-10,0.251,
1975-01,0.236,
1975-04,0.227,
1975-07,0.234,
1975-10,0.223,
1976-01,0.229,
1976-04,0.246,
1976-07,0.267,
1976-10,0.273,
1977-01,0.281,
1977-04,0.311,
1977-07,0.308,
1977-10,0.324,
1978-01,0.325,
1978-04,0.350,
1978-07,0.381,
1978-10,0.412,
1979-01,0.427,
1979-04,0.426,
1979-07,0.460,
1979-10,0.476,
1980-01,0.436,
1980-04,0.450,
1980-07,0.446,
1980-10,0.530,
1981-01,0.538,
1981-04,0.553,
1981-07,0.542,
1981-10,0.650,
1982-01,0.639,
1982-04,0.659,
1982-07,0.671,
1982-10,0.678,
1983-01,0.693,
1983-04,0.728,
1983-07,0.733,
1983-10,0.789,
1984-01,0.786,
1984-04,0.820,
1984-07,0.840,
1984-10,0.853,
1985-01,0.847,
1985-04,0.854,
1985-07,0.828,
1985-10,1.096,
1986-01,1.092,
1986-04,1.061,
1986-07,1.050,
1986-10,1.037,
1987-01,0.999,
1987-04,0.979,
1987-07,0.992,
1987-10,0.992,
1988-01,0.940,
1988-04,0.937,
1988-07,1.001,
1988-10,0.977,
1989-01,0.941,
1989-04,0.936,
1989-07,0.936,
1989-10,0.941,
1990-01,0.947,
1990-04,0.904,
1990-07,0.856,
1990-10,0.712,
1991-01,0.718,
1991-04,0.826,
1991-07,0.880,
1991-10,0.941,
1992-01,0.942,
1992-04,0.923,
1992-07,0.951,
1992-10,0.988,
1993-01,1.380,
1993-04,1.221,
1993-07,1.345,
1993-10,0.846,
1994-01,0.707,
1994-04,0.737,
1994-07,0.608,
1994-10,0.627,
1995-01,0.577,
1995-04,0.612,
1995-07,0.596,
1995-10,0.645,
1996-01,0.640,
1996-04,0.619,
1996-07,0.600,
1996-10,0.601,
1997-01,0.591,
1997-04,0.693,
1997-07,0.743,
1997-10,0.747,
1998-01,0.729,
1998-04,0.761,
1998-07,0.865,
1998-10,0.908,
1999-01,0.920,
1999-04,1.405,
1999-07,1.776,
1999-10,1.833,
2000-01,1.849,
2000-04,1.809,
2000-07,1.814,
2000-10,2.271,
2001-01,1.887,
2001-04,1.863,
2001-07,1.865,
2001-10,1.809,
2002-01,1.588,
2002-04,1.366,
2002-07,1.374,
2002-10,1.530,
2003-01,1.221,
2003-04,1.120,
2003-07,1.112,
2003-10,0.958,
2004-01,0.804,
2004-04,0.785,
2004-07,0.745,
2004-10,0.678,
2005-01,0.617,
2005-04,0.589,
2005-07,0.596,
2005-10,0.535,
2006-01,0.488,
2006-04,0.439,
2006-07,0.437,
2006-10,0.419,
2007-01,0.424,
2007-04,0.480,
2007-07,0.404,
2007-10,0.405,
2008-01,0.582,
2008-04,0.616,
2008-07,0.584,
2008-10,0.602,
2009-01,0.521,
2009-04,0.527,
2009-07,0.563,
2009-10,0.315,
2010-01,0.306,
2010-04,0.322,
2010-07,0.324,
2010-10,0.366,
2011-01,0.371,
2011-04,0.368,
2011-07,0.395,
2011-10,0.416,
2012-01,0.434,
2012-04,0.449,
2012-07,0.435,
2012-10,0.459,
2013-01,0.468,
2013-04,0.465,
2013-07,0.439,
2013-10,0.452,
2014-01,0.443,
2014-04,0.433,
2014-07,0.417,
2014-10,0.433,
