"",BBDE1.M.DE.Y.AEA1.P2XF00000.B2.V.I10.A,BBDE1.M.DE.Y.AEA1.P2XF00000.B2.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Main construction industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:12,
1991-01,114.9,
1991-02,116.9,
1991-03,123.4,
1991-04,121.4,
1991-05,126.2,
1991-06,129.8,
1991-07,129.2,
1991-08,134.3,
1991-09,144.0,
1991-10,134.5,
1991-11,136.3,
1991-12,131.9,
1992-01,140.0,
1992-02,149.8,
1992-03,146.0,
1992-04,142.7,
1992-05,141.7,
1992-06,146.3,
1992-07,139.1,
1992-08,139.9,
1992-09,143.4,
1992-10,145.4,
1992-11,145.2,
1992-12,163.4,
1993-01,152.8,
1993-02,147.2,
1993-03,154.3,
1993-04,151.1,
1993-05,148.8,
1993-06,149.8,
1993-07,157.0,
1993-08,155.8,
1993-09,152.6,
1993-10,167.2,
1993-11,166.2,
1993-12,165.2,
1994-01,180.0,
1994-02,164.9,
1994-03,169.2,
1994-04,169.3,
1994-05,169.1,
1994-06,164.8,
1994-07,161.6,
1994-08,166.1,
1994-09,165.0,
1994-10,170.5,
1994-11,182.0,
1994-12,181.0,
1995-01,180.9,
1995-02,171.0,
1995-03,165.8,
1995-04,165.5,
1995-05,160.4,
1995-06,161.7,
1995-07,164.3,
1995-08,162.3,
1995-09,168.6,
1995-10,161.7,
1995-11,170.1,
1995-12,153.3,
1996-01,160.4,
1996-02,152.7,
1996-03,147.8,
1996-04,145.8,
1996-05,152.4,
1996-06,155.4,
1996-07,152.8,
1996-08,157.1,
1996-09,153.0,
1996-10,151.0,
1996-11,146.9,
1996-12,149.3,
1997-01,139.4,
1997-02,153.8,
1997-03,140.5,
1997-04,134.7,
1997-05,142.2,
1997-06,140.0,
1997-07,137.4,
1997-08,140.8,
1997-09,138.3,
1997-10,138.6,
1997-11,131.5,
1997-12,136.9,
1998-01,134.7,
1998-02,139.9,
1998-03,140.0,
1998-04,139.4,
1998-05,136.6,
1998-06,137.1,
1998-07,144.1,
1998-08,136.0,
1998-09,144.6,
1998-10,136.1,
1998-11,138.4,
1998-12,133.1,
1999-01,144.3,
1999-02,144.2,
1999-03,135.3,
1999-04,139.1,
1999-05,141.1,
1999-06,135.7,
1999-07,139.4,
1999-08,135.3,
1999-09,132.2,
1999-10,133.9,
1999-11,123.3,
1999-12,127.2,
2000-01,132.0,
2000-02,127.7,
2000-03,132.8,
2000-04,129.7,
2000-05,127.7,
2000-06,121.3,
2000-07,122.5,
2000-08,115.4,
2000-09,120.5,
2000-10,119.6,
2000-11,118.6,
2000-12,124.3,
2001-01,119.4,
2001-02,119.6,
2001-03,118.4,
2001-04,121.8,
2001-05,124.4,
2001-06,124.8,
2001-07,112.8,
2001-08,117.1,
2001-09,112.4,
2001-10,112.2,
2001-11,115.1,
2001-12,107.5,
2002-01,112.3,
2002-02,116.8,
2002-03,126.6,
2002-04,114.2,
2002-05,107.6,
2002-06,109.7,
2002-07,105.7,
2002-08,103.9,
2002-09,108.9,
2002-10,103.1,
2002-11,106.9,
2002-12,107.4,
2003-01,102.7,
2003-02,102.0,
2003-03,100.3,
2003-04,99.0,
2003-05,96.1,
2003-06,97.8,
2003-07,101.7,
2003-08,95.7,
2003-09,97.2,
2003-10,97.9,
2003-11,98.3,
2003-12,94.6,
2004-01,95.2,
2004-02,104.3,
2004-03,91.7,
2004-04,92.1,
2004-05,87.8,
2004-06,92.2,
2004-07,88.8,
2004-08,90.8,
2004-09,91.5,
2004-10,92.4,
2004-11,87.5,
2004-12,94.2,
2005-01,83.8,
2005-02,82.3,
2005-03,89.2,
2005-04,84.4,
2005-05,90.3,
2005-06,90.6,
2005-07,91.1,
2005-08,96.3,
2005-09,95.2,
2005-10,92.7,
2005-11,95.5,
2005-12,102.6,
2006-01,89.8,
2006-02,93.0,
2006-03,92.3,
2006-04,96.4,
2006-05,99.4,
2006-06,96.2,
2006-07,97.8,
2006-08,98.1,
