"",BBK01.OEAA37J,BBK01.OEAA37J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:45,
2002-01,7.192,
2002-04,7.251,
2002-07,6.881,
2002-10,6.913,
2003-01,6.961,
2003-04,7.005,
2003-07,7.101,
2003-10,7.177,
2004-01,7.184,
2004-04,7.208,
2004-07,7.259,
2004-10,7.291,
2005-01,7.942,
2005-04,7.991,
2005-07,8.098,
2005-10,8.078,
2006-01,8.068,
2006-04,7.996,
2006-07,8.050,
2006-10,8.018,
2007-01,7.953,
2007-04,7.937,
2007-07,7.914,
2007-10,7.857,
2008-01,7.775,
2008-04,7.786,
2008-07,7.609,
2008-10,7.602,
2009-01,7.580,
2009-04,7.585,
2009-07,6.946,
2009-10,6.923,
2010-01,6.881,
2010-04,6.869,
2010-07,6.889,
2010-10,6.899,
2011-01,6.857,
2011-04,6.843,
2011-07,6.875,
2011-10,6.884,
2012-01,6.862,
2012-04,6.962,
2012-07,6.939,
2012-10,6.954,
2013-01,6.947,
2013-04,6.974,
2013-07,7.019,
2013-10,7.046,
2014-01,6.833,
2014-04,6.883,
2014-07,6.683,
