"",BBFB1.Q.N.DE.B5.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:29,
1991-01,225.547,
1991-04,282.095,
1991-07,254.302,
1991-10,122.647,
1992-01,-70.888,
1992-04,-96.227,
1992-07,-33.171,
1992-10,-245.609,
1993-01,-220.643,
1993-04,-331.359,
1993-07,-231.498,
1993-10,-543.502,
1994-01,-335.230,
1994-04,-516.538,
1994-07,-359.099,
1994-10,-539.401,
1995-01,-347.196,
1995-04,-542.999,
1995-07,-379.329,
1995-10,-700.163,
1996-01,-721.815,
1996-04,-799.665,
1996-07,-496.861,
1996-10,-1157.772,
1997-01,-91.316,
1997-04,-335.293,
1997-07,-61.013,
1997-10,-106.610,
1998-01,-46.345,
1998-04,-258.568,
1998-07,-39.669,
1998-10,-101.297,
1999-01,-624.998,
1999-04,-580.161,
1999-07,-595.142,
1999-10,-859.869,
2000-01,-2276.606,
2000-04,-1981.258,
2000-07,-1912.930,
2000-10,-2085.175,
2001-01,-4572.642,
2001-04,-5990.045,
2001-07,-4038.738,
2001-10,-4001.559,
2002-01,-1124.018,
2002-04,-2593.372,
2002-07,-616.430,
2002-10,-2344.840,
2003-01,381.422,
2003-04,-3190.689,
2003-07,-611.193,
2003-10,-216.773,
2004-01,-1538.936,
2004-04,193.792,
2004-07,1390.957,
2004-10,219.074,
2005-01,2349.468,
2005-04,-485.812,
2005-07,2088.054,
2005-10,604.803,
2006-01,32.143,
2006-04,-2144.594,
2006-07,672.714,
2006-10,-1556.893,
2007-01,4390.951,
2007-04,-1879.343,
2007-07,1452.904,
2007-10,-246.012,
2008-01,-4276.864,
2008-04,-2843.528,
2008-07,-3240.054,
2008-10,-3338.404,
2009-01,-1726.536,
2009-04,-2991.965,
2009-07,-2250.082,
2009-10,-4556.825,
2010-01,2587.065,
2010-04,-1433.487,
2010-07,2776.609,
2010-10,-939.993,
2011-01,1459.139,
2011-04,-2816.235,
2011-07,-1970.037,
2011-10,-916.926,
2012-01,2216.870,
2012-04,-1850.281,
2012-07,60.260,
2012-10,-455.421,
2013-01,2343.396,
2013-04,-2579.250,
2013-07,217.967,
2013-10,-433.872,
2014-01,1884.863,Provisional value
2014-04,-943.296,Provisional value
2014-07,1181.777,Provisional value
2014-10,-293.950,Provisional value
