"",BBK01.OEAE36O,BBK01.OEAE36O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:02,
2002-01,1.640,
2002-04,2.044,
2002-07,2.066,
2002-10,2.045,
2003-01,1.878,
2003-04,1.629,
2003-07,1.457,
2003-10,1.521,
2004-01,1.527,
2004-04,1.586,
2004-07,1.559,
2004-10,1.468,
2005-01,1.584,
2005-04,1.593,
2005-07,1.587,
2005-10,1.567,
2006-01,1.539,
2006-04,1.564,
2006-07,1.574,
2006-10,1.667,
2007-01,1.682,
2007-04,1.713,
2007-07,1.684,
2007-10,1.592,
2008-01,1.585,
2008-04,1.636,
2008-07,1.693,
2008-10,1.648,
2009-01,1.439,
2009-04,1.376,
2009-07,1.397,
2009-10,1.330,
2010-01,1.291,
2010-04,1.251,
2010-07,1.612,
2010-10,1.650,
2011-01,1.663,
2011-04,1.648,
2011-07,1.669,
2011-10,1.705,
2012-01,1.697,
2012-04,1.392,
2012-07,1.400,
2012-10,1.421,
2013-01,1.414,
2013-04,1.420,
2013-07,1.437,
2013-10,1.444,
2014-01,1.441,
2014-04,1.439,
2014-07,1.446,
