"",BBFB1.M.N.DE.W1.S1ZL.S1.T.LI.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1ZL.S1.T.LI.FA.P.F3.S._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Short-term debt-securities / Private issuers / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:24,
1991-01,0.880,
1991-02,36.492,
1991-03,54.254,
1991-04,81.444,
1991-05,575.308,
1991-06,405.184,
1991-07,507.051,
1991-08,804.079,
1991-09,570.390,
1991-10,608.725,
1991-11,419.554,
1991-12,288.818,
1992-01,372.174,
1992-02,320.561,
1992-03,709.315,
1992-04,760.555,
1992-05,578.594,
1992-06,716.745,
1992-07,1112.237,
1992-08,1031.862,
1992-09,844.906,
1992-10,1895.251,
1992-11,2229.121,
1992-12,1798.610,
1993-01,1320.060,
1993-02,2352.422,
1993-03,1391.384,
1993-04,1631.935,
1993-05,1696.829,
1993-06,1572.026,
1993-07,998.949,
1993-08,939.218,
1993-09,599.038,
1993-10,1653.486,
1993-11,1378.785,
1993-12,570.785,
1994-01,1125.439,
1994-02,886.561,
1994-03,944.809,
1994-04,698.050,
1994-05,987.424,
1994-06,1342.704,
1994-07,1852.070,
1994-08,1931.528,
1994-09,1802.947,
1994-10,2246.907,
1994-11,1636.577,
1994-12,1302.941,
1995-01,1182.781,
1995-02,1719.087,
1995-03,1803.697,
1995-04,1306.045,
1995-05,1434.099,
1995-06,2005.610,
1995-07,2424.088,
1995-08,1455.361,
1995-09,2018.382,
1995-10,1801.682,
1995-11,985.460,
1995-12,1505.889,
1996-01,3555.415,
1996-02,1310.234,
1996-03,3101.876,
1996-04,1822.796,
1996-05,3625.721,
1996-06,3139.662,
1996-07,3595.674,
1996-08,3383.667,
1996-09,3344.558,
1996-10,3397.594,
1996-11,3264.177,
1996-12,3288.950,
1997-01,5020.392,
1997-02,3760.505,
1997-03,4219.774,
1997-04,5013.508,
1997-05,4877.700,
1997-06,5141.120,
1997-07,5434.207,
1997-08,4996.929,
1997-09,5973.614,
1997-10,6031.502,
1997-11,6166.729,
1997-12,5070.287,
1998-01,8652.233,
1998-02,7388.503,
1998-03,7698.284,
1998-04,5623.007,
1998-05,7759.169,
1998-06,7987.145,
1998-07,7941.060,
1998-08,6266.617,
1998-09,7292.874,
1998-10,4104.294,
1998-11,5105.739,
1998-12,4547.905,
1999-01,6218.710,
1999-02,5527.995,
1999-03,4268.605,
1999-04,9293.119,
1999-05,6575.207,
1999-06,6905.519,
1999-07,8677.280,
1999-08,12507.115,
1999-09,15562.844,
1999-10,10398.628,
1999-11,23646.834,
1999-12,16823.603,
2000-01,12171.537,
2000-02,15477.972,
2000-03,14066.963,
2000-04,17578.495,
2000-05,17782.727,
2000-06,19432.142,
2000-07,16960.720,
2000-08,14984.381,
2000-09,21090.372,
2000-10,19660.220,
2000-11,21767.831,
2000-12,21877.883,
2001-01,21389.767,
2001-02,17787.237,
2001-03,20767.120,
2001-04,18907.177,
2001-05,20775.178,
2001-06,20282.096,
2001-07,17949.564,
2001-08,17244.248,
2001-09,17804.759,
2001-10,18921.441,
2001-11,23556.026,
2001-12,18779.593,
2002-01,20589.853,
2002-02,20426.801,
2002-03,17625.869,
2002-04,21496.741,
2002-05,22198.957,
2002-06,24246.791,
2002-07,25088.792,
2002-08,25884.457,
2002-09,24874.883,
2002-10,30690.041,
2002-11,33604.763,
2002-12,26402.290,
