"",BBK01.OEAM04L,BBK01.OEAM04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:30,
2002-01,4.854,
2002-04,5.355,
2002-07,5.355,
2002-10,5.360,
2003-01,5.660,
2003-04,6.800,
2003-07,4.732,
2003-10,4.693,
2004-01,7.554,
2004-04,7.840,
2004-07,6.223,
2004-10,5.245,
2005-01,5.646,
2005-04,7.533,
2005-07,9.705,
2005-10,7.177,
2006-01,7.539,
2006-04,9.389,
2006-07,8.824,
2006-10,7.785,
2007-01,9.711,
2007-04,14.865,
2007-07,11.924,
2007-10,13.450,
2008-01,12.173,
2008-04,15.104,
2008-07,16.533,
2008-10,11.339,
2009-01,11.366,
2009-04,16.459,
2009-07,8.185,
2009-10,8.770,
2010-01,7.024,
2010-04,8.063,
2010-07,7.271,
2010-10,7.895,
2011-01,8.852,
2011-04,10.708,
2011-07,12.376,
2011-10,11.808,
2012-01,10.891,
2012-04,12.887,
2012-07,12.114,
2012-10,14.722,
2013-01,12.050,
2013-04,11.987,
2013-07,10.895,
2013-10,15.611,
2014-01,13.413,
2014-04,14.721,
2014-07,15.532,
