"",BBFN1.M.DE.N.1.A.ES.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:06,
1982-09,0.481,
1982-10,0.376,
1982-11,0.381,
1982-12,0.388,
1983-01,0.370,
1983-02,0.360,
1983-03,0.358,
1983-04,0.356,
1983-05,0.356,
1983-06,0.363,
1983-07,0.356,
1983-08,0.361,
1983-09,0.357,
1983-10,0.289,
1983-11,0.293,
1983-12,0.257,
1984-01,0.253,
1984-02,0.251,
1984-03,0.252,
1984-04,0.245,
1984-05,0.252,
1984-06,0.253,
1984-07,0.250,
1984-08,0.282,
1984-09,0.285,
1984-10,0.280,
1984-11,0.271,
1984-12,0.242,
1985-01,0.236,
1985-02,0.242,
1985-03,0.237,
1985-04,0.234,
1985-05,0.251,
1985-06,0.270,
1985-07,0.288,
1985-08,0.276,
1985-09,0.281,
1985-10,0.307,
1985-11,0.298,
1985-12,0.294,
1986-01,0.286,
1986-02,0.279,
1986-03,0.274,
1986-04,0.279,
1986-05,0.245,
1986-06,0.252,
1986-07,0.251,
1986-08,0.253,
1986-09,0.247,
1986-10,0.245,
1986-11,0.242,
1986-12,0.237,
1987-01,0.235,
1987-02,0.232,
1987-03,0.249,
1987-04,0.242,
1987-05,0.258,
1987-06,0.269,
1987-07,0.268,
1987-08,0.261,
1987-09,0.279,
1987-10,0.300,
1987-11,0.329,
1987-12,0.352,
1988-01,0.360,
1988-02,0.391,
1988-03,0.395,
1988-04,0.440,
1988-05,0.404,
1988-06,0.412,
1988-07,0.391,
1988-08,0.462,
1988-09,0.426,
1988-10,0.412,
1988-11,0.392,
1988-12,0.387,
1989-01,0.397,
1989-02,0.459,
1989-03,0.456,
1989-04,0.618,
1989-05,0.653,
1989-06,0.568,
1989-07,0.681,
1989-08,0.819,
1989-09,0.697,
1989-10,0.656,
1989-11,0.578,
1989-12,0.575,
1990-01,0.635,comment
1990-02,0.641,
1990-03,0.640,
1990-04,0.630,
1990-05,0.670,
1990-06,0.666,
1990-07,0.643,
1990-08,0.698,
1990-09,0.684,
1990-10,0.678,
1990-11,0.727,
1990-12,0.754,
1991-01,0.777,
1991-02,0.776,
1991-03,0.774,
1991-04,0.768,
1991-05,0.819,
1991-06,0.926,
1991-07,0.983,
1991-08,0.971,
1991-09,0.945,
1991-10,0.931,
1991-11,0.927,
1991-12,0.871,
1992-01,0.944,
1992-02,0.940,
1992-03,0.983,
1992-04,1.025,
1992-05,1.023,
1992-06,0.919,
1992-07,0.915,
1992-08,0.951,
