"",BBK01.OEAL08V,BBK01.OEAL08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:45,
2002-01,18.749,
2002-04,18.078,
2002-07,18.043,
2002-10,18.735,
2003-01,18.979,
2003-04,19.047,
2003-07,19.259,
2003-10,19.715,
2004-01,19.793,
2004-04,19.975,
2004-07,19.944,
2004-10,20.243,
2005-01,21.546,
2005-04,21.318,
2005-07,21.242,
2005-10,21.523,
2006-01,21.444,
2006-04,21.003,
2006-07,20.532,
2006-10,20.453,
2007-01,20.108,
2007-04,19.711,
2007-07,19.213,
2007-10,19.276,
2008-01,19.065,
2008-04,18.772,
2008-07,18.406,
2008-10,18.698,
2009-01,18.932,
2009-04,18.948,
2009-07,19.133,
2009-10,19.599,
2010-01,19.765,
2010-04,19.856,
2010-07,20.185,
2010-10,20.636,
2011-01,20.557,
2011-04,20.500,
2011-07,20.588,
2011-10,20.931,
2012-01,21.255,
2012-04,21.344,
2012-07,21.635,
2012-10,22.091,
2013-01,22.266,
2013-04,22.304,
2013-07,22.343,
2013-10,22.542,
2014-01,22.578,
2014-04,22.518,
2014-07,22.542,
