"",BBK01.OELB12T,BBK01.OELB12T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:33,
2002-01,0.288,
2002-04,0.298,
2002-07,0.306,
2002-10,0.308,
2003-01,0.324,
2003-04,0.333,
2003-07,0.339,
2003-10,0.353,
2004-01,0.356,
2004-04,0.381,
2004-07,0.401,
2004-10,0.427,
2005-01,0.426,
2005-04,0.431,
2005-07,0.438,
2005-10,0.451,
2006-01,0.458,
2006-04,0.465,
2006-07,0.481,
2006-10,0.476,
2007-01,0.486,
2007-04,0.501,
2007-07,0.509,
2007-10,0.511,
2008-01,0.508,
2008-04,0.519,
2008-07,0.529,
2008-10,0.544,
2009-01,0.556,
2009-04,0.581,
2009-07,0.601,
2009-10,0.629,
2010-01,0.631,
2010-04,0.653,
2010-07,0.675,
2010-10,0.692,
2011-01,0.704,
2011-04,0.716,
2011-07,0.724,
2011-10,0.716,
2012-01,0.740,
2012-04,0.748,
2012-07,0.759,
2012-10,0.766,
2013-01,0.816,
2013-04,0.814,
2013-07,0.833,
2013-10,0.857,
2014-01,0.861,
2014-04,0.881,
2014-07,0.845,
