"",BBK01.OELI03Q,BBK01.OELI03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:41,
2002-01,2.963,
2002-04,2.864,
2002-07,2.743,
2002-10,2.804,
2003-01,2.760,
2003-04,1.814,
2003-07,2.685,
2003-10,2.524,
2004-01,2.555,
2004-04,2.676,
2004-07,2.548,
2004-10,2.552,
2005-01,2.384,
2005-04,2.376,
2005-07,2.478,
2005-10,2.909,
2006-01,2.843,
2006-04,2.968,
2006-07,3.310,
2006-10,3.034,
2007-01,3.054,
2007-04,2.987,
2007-07,3.040,
2007-10,3.176,
2008-01,3.161,
2008-04,3.207,
2008-07,3.147,
2008-10,3.393,
2009-01,3.043,
2009-04,2.791,
2009-07,2.701,
2009-10,2.547,
2010-01,2.414,
2010-04,2.351,
2010-07,2.325,
2010-10,2.361,
2011-01,2.305,
2011-04,2.369,
2011-07,2.413,
2011-10,2.357,
2012-01,2.306,
2012-04,2.361,
2012-07,2.263,
2012-10,2.273,
2013-01,2.243,
2013-04,2.030,
2013-07,2.032,
2013-10,2.043,
2014-01,2.067,
2014-04,2.026,
2014-07,2.030,
