"",BBK01.OEAF08K,BBK01.OEAF08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:00,
2002-01,0.883,
2002-04,0.930,
2002-07,0.944,
2002-10,0.963,
2003-01,0.904,
2003-04,0.869,
2003-07,0.824,
2003-10,0.852,
2004-01,0.810,
2004-04,0.735,
2004-07,0.725,
2004-10,0.712,
2005-01,0.717,
2005-04,0.698,
2005-07,0.671,
2005-10,0.623,
2006-01,0.620,
2006-04,0.643,
2006-07,0.643,
2006-10,0.632,
2007-01,0.622,
2007-04,0.638,
2007-07,0.634,
2007-10,0.634,
2008-01,0.632,
2008-04,0.640,
2008-07,0.627,
2008-10,0.625,
2009-01,0.612,
2009-04,0.612,
2009-07,0.605,
2009-10,0.593,
2010-01,0.581,
2010-04,0.640,
2010-07,0.767,
2010-10,0.725,
2011-01,0.744,
2011-04,0.726,
2011-07,0.710,
2011-10,0.752,
2012-01,0.754,
2012-04,0.749,
2012-07,0.754,
2012-10,0.756,
2013-01,0.754,
2013-04,0.743,
2013-07,0.729,
2013-10,0.715,
2014-01,0.701,
2014-04,0.678,
2014-07,0.675,
