"",BBK01.OEXB22T,BBK01.OEXB22T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:18,
2002-01,0.045,
2002-04,0.054,
2002-07,0.066,
2002-10,0.065,
2003-01,0.069,
2003-04,0.069,
2003-07,0.074,
2003-10,0.084,
2004-01,0.087,
2004-04,0.086,
2004-07,0.097,
2004-10,0.087,
2005-01,0.080,
2005-04,0.089,
2005-07,0.132,
2005-10,0.127,
2006-01,0.178,
2006-04,0.172,
2006-07,0.083,
2006-10,0.084,
2007-01,0.082,
2007-04,0.080,
2007-07,0.067,
2007-10,0.069,
2008-01,0.069,
2008-04,0.067,
2008-07,0.058,
2008-10,0.052,
2009-01,0.049,
2009-04,0.044,
2009-07,0.050,
2009-10,0.045,
2010-01,0.058,
2010-04,0.055,
2010-07,0.047,
2010-10,0.041,
2011-01,0.048,
2011-04,0.043,
2011-07,0.067,
2011-10,0.062,
2012-01,0.063,
2012-04,0.073,
2012-07,0.081,
2012-10,0.101,
2013-01,0.115,
2013-04,0.118,
2013-07,0.138,
2013-10,0.127,
2014-01,0.236,
2014-04,0.215,
2014-07,0.225,
