"",BBDL1.M.DE.N.EMP.EBA000.A0000.A00.D00.0.ABA.A,BBDL1.M.DE.N.EMP.EBA000.A0000.A00.D00.0.ABA.A_FLAGS
"",Employees subject to social security contributions / Germany / Total / Absolute value / Unadjusted figure,
unit,Anzahl (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:05:01,
1999-06,27418361,
1999-07,27294793,
1999-08,27537965,
1999-09,27858014,
1999-10,27874461,
1999-11,27995907,
1999-12,27783094,
2000-01,27450198,
2000-02,27493687,
2000-03,27616946,
2000-04,27702044,
2000-05,27851459,
2000-06,27841773,
2000-07,27790677,
2000-08,28046263,
2000-09,28269372,
2000-10,28260217,
2000-11,28303534,
2000-12,28047154,
2001-01,27610440,
2001-02,27621289,
2001-03,27726046,
2001-04,27835289,
2001-05,27935272,
2001-06,27798094,
2001-07,27688912,
2001-08,27878231,
2001-09,28057791,
2001-10,28216019,
2001-11,28219458,
2001-12,27950317,
2002-01,27634125,
2002-02,27614879,
2002-03,27659824,
2002-04,27712628,
2002-05,27744463,
2002-06,27659831,
2002-07,27585127,
2002-08,27726434,
2002-09,27927771,
2002-10,27846580,
2002-11,27755225,
2002-12,27440099,
2003-01,27061784,
2003-02,26969893,
2003-03,26999304,
2003-04,26989286,
2003-05,26980677,
2003-06,26949434,
2003-07,26795732,
2003-08,26888372,
2003-09,27152189,
2003-10,27109431,
2003-11,27030740,
2003-12,26731667,
2004-01,26384415,
2004-02,26312684,
2004-03,26444797,
2004-04,26501000,
2004-05,26539565,
2004-06,26547978,
2004-07,26421065,
2004-08,26637071,
2004-09,26968308,
2004-10,26886637,
2004-11,26813636,
2004-12,26502359,
2005-01,26087134,
2005-02,26017393,
2005-03,26100960,
2005-04,26206610,
2005-05,26288913,
2005-06,26299560,
2005-07,26196343,
2005-08,26416350,
2005-09,26712681,
2005-10,26725363,
2005-11,26704856,
2005-12,26406648,
2006-01,26029303,
2006-02,26008773,
2006-03,26134558,
2006-04,26315646,
2006-05,26500166,
2006-06,26533905,
2006-07,26488126,
2006-08,26702294,
2006-09,26996846,
2006-10,27052225,
2006-11,27053896,
2006-12,26811551,
2007-01,26632658,
2007-02,26653503,
2007-03,26774526,
2007-04,26915683,
2007-05,27030944,
2007-06,27050451,
2007-07,27043397,
2007-08,27309804,
2007-09,27627812,
2007-10,27726033,
2007-11,27706064,
2007-12,27465312,
2008-01,27310799,
2008-02,27350125,
2008-03,27463269,
2008-04,27573211,
2008-05,27662653,
2008-06,27695398,
2008-07,27667150,
2008-08,27895659,
2008-09,28226287,
2008-10,28258877,
2008-11,28177591,
2008-12,27899513,
2009-01,27614106,
2009-02,27547969,
2009-03,27580163,
2009-04,27610287,
2009-05,27624728,
2009-06,27603281,
2009-07,27524925,
2009-08,27743549,
2009-09,28024951,
2009-10,28024567,
2009-11,28014039,
2009-12,27769343,
2010-01,27517122,
2010-02,27489499,
2010-03,27658116,
2010-04,27813268,
2010-05,27936794,
2010-06,27966601,
2010-07,27926629,
2010-08,28196020,
2010-09,28505122,
2010-10,28530251,
2010-11,28531682,
2010-12,28291928,
2011-01,28107018,
2011-02,28159677,
2011-03,28331314,
2011-04,28467486,
2011-05,28611841,
2011-06,28643583,
2011-07,28601071,
2011-08,28886376,
2011-09,29216870,
2011-10,29273678,
2011-11,29278059,
2011-12,29046131,
2012-01,28915620,
2012-02,28921513,
2012-03,29082009,
2012-04,29199220,
2012-05,29289376,
2012-06,29280034,
2012-07,29254768,
2012-08,29477032,
2012-09,29753856,
2012-10,29822881,
2012-11,29808671,
2012-12,29527929,
2013-01,29334132,
2013-02,29344966,
2013-03,29422803,
2013-04,29562226,
2013-05,29636611,
2013-06,29615680,
2013-07,29595739,
2013-08,29843141,
2013-09,30164885,
2013-10,30180810,
2013-11,30149195,
2013-12,29884370,
2014-01,29736464,
2014-02,29783606,
2014-03,29932409,
2014-04,30060096,
2014-05,30125076,
2014-06,30174505,
2014-07,30121273,
2014-08,30311975,
2014-09,30650300,Estimated value
2014-10,30691600,Estimated value
2014-11,30722200,Estimated value
2014-12,30468300,Estimated value
"",Source: Federal Employment Agency.,
"",Methodology: Month-end figures.,
