"",BBSF2.M.1.P.00000.GEM01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEM01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed securities funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:54,
2009-09,2185,
2009-10,2125,
2009-11,2207,
2009-12,2331,
2010-01,2170,
2010-02,2209,
2010-03,2427,
2010-04,2341,
2010-05,2272,
2010-06,2268,
2010-07,2294,
2010-08,2231,
2010-09,2322,
2010-10,2591,
2010-11,2589,
2010-12,2646,
2011-01,2719,
2011-02,2744,
2011-03,2667,
2011-04,2856,
2011-05,2760,
2011-06,2765,
2011-07,2691,
2011-08,2228,
2011-09,2056,
2011-10,2303,
2011-11,2183,
2011-12,2232,
2012-01,2426,
2012-02,2601,
2012-03,2631,
2012-04,2606,
2012-05,2411,
2012-06,2395,
2012-07,2567,
2012-08,2611,
2012-09,2742,
2012-10,2784,
2012-11,2842,
2012-12,2843,
2013-01,2900,
2013-02,2901,
2013-03,2828,
2013-04,2848,
2013-05,2929,
2013-06,3013,
2013-07,3143,
2013-08,3067,
2013-09,3231,
2013-10,3417,
2013-11,3502,
2013-12,3493,
2014-01,3365,
2014-02,3503,
2014-03,3485,
2014-04,3516,
2014-05,3537,
2014-06,3554,
2014-07,3403,
2014-08,3555,
2014-09,3557,
2014-10,3527,
2014-11,3640,
