"",BBK01.OEAD29L,BBK01.OEAD29L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:02,
2002-01,0.053,
2002-04,0.054,
2002-07,0.063,
2002-10,0.057,
2003-01,0.095,
2003-04,0.082,
2003-07,0.066,
2003-10,0.059,
2004-01,0.055,
2004-04,0.067,
2004-07,0.073,
2004-10,0.074,
2005-01,0.068,
2005-04,0.065,
2005-07,0.059,
2005-10,0.071,
2006-01,0.102,
2006-04,0.110,
2006-07,0.102,
2006-10,0.139,
2007-01,0.124,
2007-04,0.082,
2007-07,0.074,
2007-10,0.064,
2008-01,0.070,
2008-04,0.065,
2008-07,0.080,
2008-10,0.060,
2009-01,0.069,
2009-04,0.063,
2009-07,0.065,
2009-10,0.072,
2010-01,0.054,
2010-04,0.054,
2010-07,0.073,
2010-10,0.072,
2011-01,0.072,
2011-04,0.084,
2011-07,0.072,
2011-10,0.098,
2012-01,0.124,
2012-04,0.125,
2012-07,0.081,
2012-10,0.076,
2013-01,0.077,
2013-04,0.083,
2013-07,0.071,
2013-10,0.108,
2014-01,0.086,
2014-04,0.077,
2014-07,0.067,
