"",BBK01.OEAH62R,BBK01.OEAH62R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:53,
2002-01,0.005,
2002-04,0.005,
2002-07,0.005,
2002-10,0.005,
2003-01,0.004,
2003-04,0.003,
2003-07,0.004,
2003-10,0.005,
2004-01,0.006,
2004-04,0.005,
2004-07,0.006,
2004-10,0.007,
2005-01,0.025,
2005-04,0.029,
2005-07,0.033,
2005-10,0.033,
2006-01,0.040,
2006-04,0.046,
2006-07,0.048,
2006-10,0.050,
2007-01,0.058,
2007-04,0.060,
2007-07,0.068,
2007-10,0.086,
2008-01,0.089,
2008-04,0.092,
2008-07,0.102,
2008-10,0.098,
2009-01,0.105,
2009-04,0.105,
2009-07,0.091,
2009-10,0.096,
2010-01,0.091,
2010-04,0.088,
2010-07,0.087,
2010-10,0.078,
2011-01,0.075,
2011-04,0.074,
2011-07,0.062,
2011-10,0.066,
2012-01,0.067,
2012-04,0.066,
2012-07,0.061,
2012-10,0.059,
2013-01,0.049,
2013-04,0.049,
2013-07,0.044,
2013-10,0.043,
2014-01,0.041,
2014-04,0.039,
2014-07,0.035,
