"",BBK01.CEFI05,BBK01.CEFI05_FLAGS
"",Listed shares               debtor: Total                              creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:43,
1999-01,2.1,
1999-04,2.6,
1999-07,2.5,
1999-10,2.3,
2000-01,2.6,
2000-04,2.5,
2000-07,2.5,
2000-10,2.8,
2001-01,1.7,
2001-04,2.6,
2001-07,2.4,
2001-10,3.5,
2002-01,0.5,
2002-04,0.4,
2002-07,6.3,
2002-10,0.3,
2003-01,7.1,
2003-04,9.6,
2003-07,9.6,
2003-10,0.8,
2004-01,0.8,
2004-04,0.7,
2004-07,0.6,
2004-10,0.5,
2005-01,0.8,
2005-04,0.7,
2005-07,0.8,
2005-10,0.7,
2006-01,12.4,
2006-04,28.7,
2006-07,34.8,
2006-10,33.2,
2007-01,32.5,
2007-04,20.0,
2007-07,0.3,
2007-10,17.5,
2008-01,16.6,
2008-04,12.8,
2008-07,14.3,
2008-10,9.7,
2009-01,4.3,
2009-04,1.7,
2009-07,19.3,
2009-10,11.6,
2010-01,11.7,
2010-04,14.3,
2010-07,15.0,
2010-10,14.6,
2011-01,17.8,
2011-04,23.8,
2011-07,19.3,
2011-10,24.9,
2012-01,25.5,
2012-04,21.0,
2012-07,23.5,
2012-10,21.7,
2013-01,19.6,
2013-04,21.1,
2013-07,22.6,
2013-10,23.6,
2014-01,24.7,
2014-04,20.1,
2014-07,19.9,
