"",BBK01.OEHB08K,BBK01.OEHB08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:39,
2002-01,19.103,
2002-04,19.414,
2002-07,19.642,
2002-10,20.365,
2003-01,18.681,
2003-04,18.856,
2003-07,19.007,
2003-10,19.066,
2004-01,19.089,
2004-04,19.100,
2004-07,19.196,
2004-10,19.256,
2005-01,19.271,
2005-04,19.314,
2005-07,19.346,
2005-10,19.424,
2006-01,19.467,
2006-04,19.476,
2006-07,19.388,
2006-10,19.331,
2007-01,18.927,
2007-04,18.944,
2007-07,18.966,
2007-10,18.706,
2008-01,18.852,
2008-04,18.993,
2008-07,19.131,
2008-10,19.315,
2009-01,19.446,
2009-04,19.764,
2009-07,20.946,
2009-10,21.266,
2010-01,21.482,
2010-04,21.878,
2010-07,22.231,
2010-10,22.997,
2011-01,23.314,
2011-04,23.632,
2011-07,24.031,
2011-10,24.438,
2012-01,24.649,
2012-04,24.908,
2012-07,25.273,
2012-10,25.674,
2013-01,25.738,
2013-04,25.893,
2013-07,26.055,
2013-10,26.175,
2014-01,25.922,
2014-04,25.875,
2014-07,25.969,
