"",BBK01.OEAH96H,BBK01.OEAH96H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:18,
2002-01,1.774,
2002-04,1.602,
2002-07,1.575,
2002-10,1.625,
2003-01,1.657,
2003-04,1.679,
2003-07,1.732,
2003-10,1.765,
2004-01,1.767,
2004-04,1.760,
2004-07,1.800,
2004-10,1.820,
2005-01,1.953,
2005-04,1.669,
2005-07,1.656,
2005-10,1.653,
2006-01,1.625,
2006-04,1.595,
2006-07,1.528,
2006-10,1.520,
2007-01,1.500,
2007-04,1.465,
2007-07,1.422,
2007-10,1.430,
2008-01,1.409,
2008-04,1.402,
2008-07,1.380,
2008-10,1.405,
2009-01,1.499,
2009-04,1.538,
2009-07,1.594,
2009-10,1.629,
2010-01,1.678,
2010-04,1.718,
2010-07,1.757,
2010-10,1.826,
2011-01,1.885,
2011-04,1.906,
2011-07,1.874,
2011-10,2.032,
2012-01,2.110,
2012-04,2.158,
2012-07,2.153,
2012-10,2.129,
2013-01,2.122,
2013-04,2.123,
2013-07,2.070,
2013-10,2.050,
2014-01,1.999,
2014-04,1.974,
2014-07,1.937,
