"",BBK01.OEBB16V,BBK01.OEBB16V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:15,
2002-01,2.354,
2002-04,2.332,
2002-07,2.301,
2002-10,2.248,
2003-01,2.218,
2003-04,2.175,
2003-07,2.157,
2003-10,2.094,
2004-01,2.098,
2004-04,2.051,
2004-07,2.010,
2004-10,1.962,
2005-01,1.978,
2005-04,1.952,
2005-07,1.819,
2005-10,1.808,
2006-01,1.799,
2006-04,1.789,
2006-07,1.797,
2006-10,1.774,
2007-01,1.784,
2007-04,1.784,
2007-07,1.785,
2007-10,1.849,
2008-01,1.805,
2008-04,1.821,
2008-07,1.825,
2008-10,1.841,
2009-01,1.825,
2009-04,2.777,
2009-07,2.762,
2009-10,2.736,
2010-01,2.740,
2010-04,2.730,
2010-07,2.140,
2010-10,2.111,
2011-01,2.166,
2011-04,2.141,
2011-07,2.129,
2011-10,2.115,
2012-01,2.089,
2012-04,2.069,
2012-07,2.047,
2012-10,2.072,
2013-01,2.079,
2013-04,2.092,
2013-07,2.103,
2013-10,2.124,
2014-01,2.114,
2014-04,2.181,
2014-07,2.169,
