"",BBK01.OEAH39K,BBK01.OEAH39K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:43,
2002-01,0.060,
2002-04,0.062,
2002-07,0.048,
2002-10,0.051,
2003-01,0.058,
2003-04,0.061,
2003-07,0.048,
2003-10,0.054,
2004-01,0.061,
2004-04,0.063,
2004-07,0.060,
2004-10,0.059,
2005-01,0.054,
2005-04,0.048,
2005-07,0.055,
2005-10,0.057,
2006-01,0.056,
2006-04,0.055,
2006-07,0.055,
2006-10,0.058,
2007-01,0.058,
2007-04,0.059,
2007-07,0.061,
2007-10,0.062,
2008-01,0.068,
2008-04,0.070,
2008-07,0.079,
2008-10,0.081,
2009-01,0.084,
2009-04,0.086,
2009-07,0.087,
2009-10,0.090,
2010-01,0.096,
2010-04,0.114,
2010-07,0.117,
2010-10,0.119,
2011-01,0.121,
2011-04,0.121,
2011-07,0.115,
2011-10,0.086,
2012-01,0.087,
2012-04,0.101,
2012-07,0.135,
2012-10,0.132,
2013-01,0.138,
2013-04,0.138,
2013-07,0.148,
2013-10,0.157,
2014-01,0.151,
2014-04,0.151,
2014-07,0.126,
