"",BBK01.OELO01P,BBK01.OELO01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:52,
2002-01,3.044,
2002-04,2.995,
2002-07,2.810,
2002-10,2.790,
2003-01,3.021,
2003-04,3.041,
2003-07,3.045,
2003-10,3.036,
2004-01,3.109,
2004-04,3.116,
2004-07,3.103,
2004-10,3.080,
2005-01,3.121,
2005-04,3.087,
2005-07,3.053,
2005-10,3.033,
2006-01,3.059,
2006-04,3.027,
2006-07,2.998,
2006-10,2.975,
2007-01,2.998,
2007-04,2.927,
2007-07,2.877,
2007-10,2.815,
2008-01,2.789,
2008-04,2.715,
2008-07,2.633,
2008-10,2.482,
2009-01,2.500,
2009-04,2.522,
2009-07,2.570,
2009-10,2.669,
2010-01,2.828,
2010-04,2.941,
2010-07,2.988,
2010-10,3.006,
2011-01,3.019,
2011-04,2.987,
2011-07,2.986,
2011-10,2.945,
2012-01,2.965,
2012-04,2.973,
2012-07,2.952,
2012-10,2.912,
2013-01,2.900,
2013-04,2.846,
2013-07,2.808,
2013-10,2.790,
2014-01,2.822,
2014-04,2.808,
2014-07,2.787,
