"",BBK01.OELK01H,BBK01.OELK01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:09,
2002-01,6.032,
2002-04,5.962,
2002-07,6.000,
2002-10,6.245,
2003-01,6.146,
2003-04,6.029,
2003-07,6.032,
2003-10,6.136,
2004-01,6.069,
2004-04,5.897,
2004-07,5.884,
2004-10,6.140,
2005-01,6.061,
2005-04,5.997,
2005-07,5.966,
2005-10,6.344,
2006-01,6.179,
2006-04,6.161,
2006-07,6.309,
2006-10,6.866,
2007-01,6.830,
2007-04,6.817,
2007-07,7.062,
2007-10,7.712,
2008-01,7.641,
2008-04,7.560,
2008-07,7.652,
2008-10,8.792,
2009-01,8.459,
2009-04,8.094,
2009-07,8.033,
2009-10,8.538,
2010-01,8.377,
2010-04,8.322,
2010-07,8.418,
2010-10,9.012,
2011-01,8.789,
2011-04,8.534,
2011-07,8.703,
2011-10,9.292,
2012-01,9.202,
2012-04,9.266,
2012-07,9.490,
2012-10,9.973,
2013-01,9.873,
2013-04,9.830,
2013-07,10.114,
2013-10,10.681,
2014-01,10.560,
2014-04,10.486,
2014-07,10.768,
