"",BBK01.OEAE02G,BBK01.OEAE02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:48,
2002-01,16.448,
2002-04,16.418,
2002-07,16.388,
2002-10,16.256,
2003-01,15.940,
2003-04,16.000,
2003-07,16.353,
2003-10,16.521,
2004-01,16.278,
2004-04,16.261,
2004-07,16.357,
2004-10,16.319,
2005-01,16.296,
2005-04,16.252,
2005-07,15.849,
2005-10,15.885,
2006-01,14.832,
2006-04,14.462,
2006-07,14.563,
2006-10,14.649,
2007-01,14.712,
2007-04,14.849,
2007-07,14.786,
2007-10,14.919,
2008-01,15.244,
2008-04,15.497,
2008-07,16.198,
2008-10,20.936,
2009-01,21.178,
2009-04,20.948,
2009-07,20.999,
2009-10,18.776,
2010-01,20.059,
2010-04,19.783,
2010-07,19.777,
2010-10,19.858,
2011-01,18.652,
2011-04,19.218,
2011-07,19.463,
2011-10,19.631,
2012-01,19.950,
2012-04,20.162,
2012-07,20.675,
2012-10,20.442,
2013-01,20.223,
2013-04,20.481,
2013-07,17.949,
2013-10,18.927,
2014-01,19.146,
2014-04,19.362,
2014-07,19.785,
