"",BBK01.OELB02T,BBK01.OELB02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:29,
2002-01,0.310,
2002-04,0.313,
2002-07,0.320,
2002-10,0.287,
2003-01,0.299,
2003-04,0.302,
2003-07,0.298,
2003-10,0.275,
2004-01,0.280,
2004-04,0.276,
2004-07,0.266,
2004-10,0.268,
2005-01,0.253,
2005-04,0.249,
2005-07,0.249,
2005-10,0.227,
2006-01,0.234,
2006-04,0.238,
2006-07,0.233,
2006-10,0.213,
2007-01,0.215,
2007-04,0.219,
2007-07,0.207,
2007-10,0.195,
2008-01,0.201,
2008-04,0.209,
2008-07,0.208,
2008-10,0.202,
2009-01,0.204,
2009-04,0.208,
2009-07,0.208,
2009-10,0.187,
2010-01,0.206,
2010-04,0.220,
2010-07,0.215,
2010-10,0.196,
2011-01,0.201,
2011-04,0.216,
2011-07,0.217,
2011-10,0.195,
2012-01,0.213,
2012-04,0.219,
2012-07,0.210,
2012-10,0.196,
2013-01,0.211,
2013-04,0.218,
2013-07,0.215,
2013-10,0.201,
2014-01,0.210,
2014-04,0.215,
2014-07,0.204,
