"",BBK01.SU0307,BBK01.SU0307_FLAGS
"",Money market rates / EURIBOR one-week funds / Monthly average,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 15:04:54,
1999-01,3.17,
1999-02,3.13,
1999-03,3.05,
1999-04,2.71,
1999-05,2.56,
1999-06,2.59,
1999-07,2.61,
1999-08,2.57,
1999-09,2.55,
1999-10,2.63,
1999-11,2.99,
1999-12,3.27,
2000-01,3.08,
2000-02,3.31,
2000-03,3.52,
2000-04,3.73,
2000-05,4.05,
2000-06,4.31,
2000-07,4.36,
2000-08,4.48,
2000-09,4.64,
2000-10,4.80,
2000-11,4.86,
2000-12,4.86,
2001-01,4.81,
2001-02,4.83,
2001-03,4.82,
2001-04,4.88,
2001-05,4.66,
2001-06,4.56,
2001-07,4.54,
2001-08,4.51,
2001-09,4.08,
2001-10,3.83,
2001-11,3.48,
2001-12,3.38,
2002-01,3.35,
2002-02,3.32,
2002-03,3.33,
2002-04,3.32,
2002-05,3.34,
2002-06,3.36,
2002-07,3.34,
2002-08,3.32,
2002-09,3.32,
2002-10,3.31,
2002-11,3.32,
2002-12,3.02,
2003-01,2.85,
2003-02,2.81,
2003-03,2.66,
2003-04,2.57,
2003-05,2.61,
2003-06,2.22,
2003-07,2.12,
2003-08,2.10,
2003-09,2.11,
2003-10,2.08,
2003-11,2.06,
2003-12,2.09,
2004-01,2.06,
2004-02,2.06,
2004-03,2.05,
2004-04,2.05,
2004-05,2.05,
2004-06,2.07,
2004-07,2.07,
2004-08,2.07,
2004-09,2.07,
2004-10,2.08,
2004-11,2.09,
2004-12,2.13,
2005-01,2.10,
2005-02,2.09,
2005-03,2.09,
2005-04,2.09,
2005-05,2.10,
2005-06,2.10,
2005-07,2.10,
2005-08,2.10,
2005-09,2.11,
2005-10,2.10,
2005-11,2.13,
2005-12,2.37,
2006-01,2.36,
2006-02,2.37,
2006-03,2.60,
2006-04,2.63,
2006-05,2.62,
2006-06,2.79,
2006-07,2.84,
2006-08,3.05,
2006-09,3.07,
2006-10,3.32,
2006-11,3.35,
2006-12,3.57,
2007-01,3.59,
2007-02,3.59,
2007-03,3.78,
2007-04,3.85,
2007-05,3.85,
2007-06,4.04,
2007-07,4.08,
2007-08,4.14,
2007-09,4.22,
2007-10,4.10,
2007-11,4.12,
2007-12,4.16,
2008-01,4.13,
2008-02,4.12,
2008-03,4.19,
2008-04,4.24,
2008-05,4.22,
2008-06,4.20,
2008-07,4.34,
2008-08,4.40,
2008-09,4.53,
2008-10,4.29,
2008-11,3.35,
2008-12,2.57,
2009-01,1.90,
2009-02,1.37,
2009-03,1.05,
2009-04,0.90,
2009-05,0.79,
2009-06,0.82,
2009-07,0.39,
2009-08,0.35,
2009-09,0.34,
2009-10,0.35,
2009-11,0.36,
2009-12,0.39,
2010-01,0.36,
2010-02,0.34,
2010-03,0.34,
2010-04,0.35,
2010-05,0.36,
2010-06,0.38,
2010-07,0.53,
2010-08,0.54,
2010-09,0.51,
2010-10,0.74,
2010-11,0.73,
2010-12,0.66,
2011-01,0.69,
2011-02,0.83,
2011-03,0.81,
2011-04,1.07,
2011-05,1.19,
2011-06,1.19,
2011-07,1.32,
2011-08,1.17,
2011-09,1.13,
2011-10,1.17,
2011-11,0.95,
2011-12,0.82,
2012-01,0.49,
2012-02,0.37,
2012-03,0.32,
2012-04,0.32,
2012-05,0.32,
2012-06,0.32,
2012-07,0.16,
2012-08,0.09,
2012-09,0.09,
2012-10,0.08,
2012-11,0.08,
2012-12,0.08,
2013-01,0.08,
2013-02,0.08,
2013-03,0.08,
2013-04,0.08,
2013-05,0.08,
2013-06,0.09,
2013-07,0.10,
2013-08,0.10,
2013-09,0.10,
2013-10,0.10,
2013-11,0.11,
2013-12,0.17,
2014-01,0.19,
2014-02,0.19,
2014-03,0.20,
2014-04,0.22,
2014-05,0.24,
2014-06,0.11,
2014-07,0.05,
2014-08,0.04,
2014-09,-0.01,
2014-10,-0.01,
2014-11,-0.01,
2014-12,-0.01,
2015-01,-0.04,
"",General: Euro Interbank Offered Rate: unweighted average rate calculated by Reuters since 30 December 1998 according to the act/360 method. Monthly averages are Bundesbank calculations. Data become fee liable from 1 January 2014 and therefore will be published with the delay of one working day.,
