"",BBFB1.Q.N.DE.CA.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:43,
1991-01,81.599,
1991-04,42.115,
1991-07,-3.264,
1991-10,47.526,
1992-01,80.514,
1992-04,55.659,
1992-07,-45.528,
1992-10,8.899,
1993-01,45.115,
1993-04,14.529,
1993-07,-118.699,
1993-10,-16.949,
1994-01,36.866,
1994-04,8.028,
1994-07,-182.339,
1994-10,-38.518,
1995-01,-0.688,
1995-04,-27.933,
1995-07,-185.989,
1995-10,-71.139,
1996-01,-4.805,
1996-04,-37.948,
1996-07,-201.804,
1996-10,-74.985,
1997-01,-16.723,
1997-04,-8.396,
1997-07,-124.797,
1997-10,-35.182,
1998-01,11.245,
1998-04,15.819,
1998-07,-154.948,
1998-10,-15.770,
1999-01,7.731,
1999-04,32.473,
1999-07,-138.844,
1999-10,-36.072,
2000-01,7.832,
2000-04,27.757,
2000-07,-161.704,
2000-10,-30.173,
2001-01,33.175,
2001-04,21.446,
2001-07,-108.984,
2001-10,-38.603,
2002-01,101.752,
2002-04,-24.403,
2002-07,-50.508,
2002-10,-95.583,
2003-01,-66.669,
2003-04,-100.802,
2003-07,-143.701,
2003-10,-13.059,
2004-01,9.599,
2004-04,-84.152,
2004-07,18.944,
2004-10,-72.261,
2005-01,-33.227,
2005-04,-83.112,
2005-07,-196.503,
2005-10,-96.211,
2006-01,-72.757,
2006-04,-9.264,
2006-07,-259.425,
2006-10,-90.763,
2007-01,-46.037,
2007-04,27.861,
2007-07,-246.027,
2007-10,-84.531,
2008-01,-33.052,
2008-04,-173.741,
2008-07,-105.168,
2008-10,-87.973,
2009-01,-47.890,
2009-04,-13.673,
2009-07,-234.877,
2009-10,-71.125,
2010-01,-138.930,
2010-04,107.478,
2010-07,-129.505,
2010-10,-12.243,
2011-01,41.021,
2011-04,41.510,
2011-07,-165.386,
2011-10,15.291,
2012-01,-6.227,
2012-04,68.946,
2012-07,-217.819,
2012-10,31.087,
2013-01,-33.053,
2013-04,38.347,
2013-07,-370.695,
2013-10,-24.530,
2014-01,-113.775,Provisional value
2014-04,43.876,Provisional value
2014-07,-266.742,Provisional value
