"",BBK01.OEAH74K,BBK01.OEAH74K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:55,
2002-01,3.322,
2002-04,3.727,
2002-07,2.426,
2002-10,3.051,
2003-01,1.957,
2003-04,1.856,
2003-07,2.332,
2003-10,2.450,
2004-01,1.830,
2004-04,2.322,
2004-07,4.252,
2004-10,2.556,
2005-01,1.734,
2005-04,1.083,
2005-07,1.187,
2005-10,0.978,
2006-01,1.548,
2006-04,2.160,
2006-07,2.370,
2006-10,2.319,
2007-01,2.250,
2007-04,2.337,
2007-07,1.591,
2007-10,1.740,
2008-01,1.389,
2008-04,2.139,
2008-07,2.533,
2008-10,2.339,
2009-01,1.306,
2009-04,1.627,
2009-07,1.655,
2009-10,1.837,
2010-01,1.427,
2010-04,1.554,
2010-07,1.404,
2010-10,1.164,
2011-01,1.103,
2011-04,1.452,
2011-07,1.395,
2011-10,1.187,
2012-01,0.987,
2012-04,1.206,
2012-07,0.708,
2012-10,0.945,
2013-01,1.221,
2013-04,1.781,
2013-07,1.573,
2013-10,1.360,
2014-01,1.002,
2014-04,1.778,
2014-07,2.010,
