"",BBK01.TQ7022,BBK01.TQ7022_FLAGS
"",Deposit takers - Customer deposits to total (non-interbank) loans                                              FSI-I022,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:35,
2005-10,71.84,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,75.18,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,76.23,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,77.74,
2009-01,75.53,
2009-04,75.54,
2009-07,74.99,
2009-10,76.47,
2010-01,75.64,
2010-04,74.56,
2010-07,73.68,
2010-10,73.60,
2011-01,73.70,
2011-04,74.48,
2011-07,71.76,
2011-10,73.59,
2012-01,70.73,
2012-04,71.55,
2012-07,73.18,
2012-10,75.73,
2013-01,75.57,
2013-04,76.90,
2013-07,80.74,
2013-10,84.54,
2014-01,84.03,
2014-04,85.37,
2014-07,85.34,
