"",BBFB1.M.N.DE.W1.S1.S1.T.B.NP._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.NP._Z._Z._Z._T._X.N_FLAGS
"",Capital account / Non-produced non-financial asstes / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:19,
1991-01,-15.458,
1991-02,-2.661,
1991-03,-7.443,
1991-04,5.733,
1991-05,-10.098,
1991-06,-17.787,
1991-07,-8.256,
1991-08,-19.938,
1991-09,-12.861,
1991-10,-6.894,
1991-11,-18.849,
1991-12,-48.699,
1992-01,-3.156,
1992-02,-20.260,
1992-03,-10.186,
1992-04,-6.466,
1992-05,-3.846,
1992-06,-20.338,
1992-07,-9.564,
1992-08,-4.341,
1992-09,-12.668,
1992-10,-26.224,
1992-11,-63.848,
1992-12,-61.106,
1993-01,-7.259,
1993-02,-11.667,
1993-03,-15.648,
1993-04,-8.787,
1993-05,-4.559,
1993-06,-107.214,
1993-07,-8.138,
1993-08,28.650,
1993-09,-7.362,
1993-10,-10.067,
1993-11,-3.252,
1993-12,-68.922,
1994-01,-14.785,
1994-02,-22.621,
1994-03,-10.302,
1994-04,-3.753,
1994-05,0.393,
1994-06,-5.027,
1994-07,-4.450,
1994-08,0.697,
1994-09,-0.609,
1994-10,-17.355,
1994-11,-5.154,
1994-12,38.968,
1995-01,-46.320,
1995-02,-9.957,
1995-03,-23.400,
1995-04,-43.933,
1995-05,40.882,
1995-06,-36.944,
1995-07,-9.250,
1995-08,-42.801,
1995-09,10.660,
1995-10,-18.138,
1995-11,-6.737,
1995-12,-5.320,
1996-01,-217.678,
1996-02,-35.117,
1996-03,-16.500,
1996-04,39.116,
1996-05,-20.410,
1996-06,-14.874,
1996-07,-21.196,
1996-08,-189.383,
1996-09,-36.731,
1996-10,8.007,
1996-11,-33.223,
1996-12,-0.766,
1997-01,29.451,
1997-02,-21.176,
1997-03,-40.598,
1997-04,-23.678,
