"",BBK01.OEXB19T,BBK01.OEXB19T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:17,
2002-01,0.133,
2002-04,0.129,
2002-07,0.126,
2002-10,0.159,
2003-01,0.158,
2003-04,0.164,
2003-07,0.159,
2003-10,0.156,
2004-01,0.153,
2004-04,0.147,
2004-07,0.145,
2004-10,0.135,
2005-01,0.131,
2005-04,0.134,
2005-07,0.130,
2005-10,0.123,
2006-01,0.122,
2006-04,0.127,
2006-07,0.129,
2006-10,0.144,
2007-01,0.150,
2007-04,0.149,
2007-07,0.145,
2007-10,0.136,
2008-01,0.135,
2008-04,0.134,
2008-07,0.131,
2008-10,0.129,
2009-01,0.134,
2009-04,0.129,
2009-07,0.117,
2009-10,0.118,
2010-01,0.116,
2010-04,0.131,
2010-07,0.125,
2010-10,0.122,
2011-01,0.120,
2011-04,0.117,
2011-07,0.112,
2011-10,0.099,
2012-01,0.093,
2012-04,0.090,
2012-07,0.079,
2012-10,0.076,
2013-01,0.072,
2013-04,0.067,
2013-07,0.072,
2013-10,0.071,
2014-01,0.069,
2014-04,0.068,
2014-07,0.067,
