"",BBK01.OEXB05J,BBK01.OEXB05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:19,
2002-01,2.472,
2002-04,2.419,
2002-07,2.411,
2002-10,2.370,
2003-01,2.332,
2003-04,2.275,
2003-07,2.322,
2003-10,2.286,
2004-01,2.275,
2004-04,2.246,
2004-07,2.258,
2004-10,2.136,
2005-01,2.149,
2005-04,2.166,
2005-07,2.231,
2005-10,2.359,
2006-01,2.394,
2006-04,2.405,
2006-07,2.461,
2006-10,2.471,
2007-01,2.456,
2007-04,2.481,
2007-07,2.482,
2007-10,2.594,
2008-01,2.603,
2008-04,2.708,
2008-07,2.786,
2008-10,2.767,
2009-01,2.817,
2009-04,2.757,
2009-07,2.717,
2009-10,2.742,
2010-01,2.722,
2010-04,2.726,
2010-07,2.758,
2010-10,2.779,
2011-01,2.749,
2011-04,2.751,
2011-07,2.849,
2011-10,2.881,
2012-01,2.890,
2012-04,2.939,
2012-07,2.957,
2012-10,3.050,
2013-01,2.974,
2013-04,2.964,
2013-07,2.995,
2013-10,3.145,
2014-01,3.211,
2014-04,3.248,
2014-07,3.127,
