"",BBK01.CEBF01,BBK01.CEBF01_FLAGS
"",longer-term loans debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:12,
1991-01,20.5,
1991-04,19.3,
1991-07,19.1,
1991-10,17.9,
1992-01,16.2,
1992-04,14.9,
1992-07,14.1,
1992-10,13.8,
1993-01,12.6,
1993-04,13.2,
1993-07,13.5,
1993-10,15.2,
1994-01,18.9,
1994-04,17.7,
1994-07,16.7,
1994-10,20.0,
1995-01,25.2,
1995-04,24.6,
1995-07,24.7,
1995-10,26.6,
1996-01,25.1,
1996-04,23.4,
1996-07,23.2,
1996-10,24.3,
1997-01,24.4,
1997-04,21.5,
1997-07,21.6,
1997-10,21.5,
1998-01,22.2,
1998-04,22.6,
1998-07,23.1,
1998-10,23.7,
1999-01,22.6,
1999-04,20.4,
1999-07,16.5,
1999-10,12.8,
2000-01,23.3,
2000-04,28.6,
2000-07,18.3,
2000-10,33.0,
2001-01,37.6,
2001-04,42.7,
2001-07,40.9,
2001-10,45.5,
2002-01,67.8,
2002-04,77.5,
2002-07,87.1,
2002-10,77.6,
2003-01,85.5,
2003-04,87.2,
2003-07,88.7,
2003-10,86.7,
2004-01,83.3,
2004-04,81.0,
2004-07,82.8,
2004-10,82.0,
2005-01,61.5,
2005-04,60.9,
2005-07,64.6,
2005-10,59.1,
2006-01,73.1,
2006-04,74.2,
2006-07,84.3,
2006-10,86.6,
2007-01,81.4,
2007-04,78.5,
2007-07,80.7,
2007-10,91.5,
2008-01,95.9,
2008-04,92.3,
2008-07,89.3,
2008-10,93.0,
2009-01,94.2,
2009-04,92.1,
2009-07,96.9,
2009-10,101.4,
2010-01,109.0,
2010-04,115.2,
2010-07,116.0,
2010-10,121.9,
2011-01,118.3,
2011-04,112.7,
2011-07,112.8,
2011-10,117.0,
2012-01,120.2,
2012-04,121.2,
2012-07,123.6,
2012-10,127.2,
2013-01,122.3,
2013-04,123.0,
2013-07,124.4,
2013-10,106.3,
2014-01,105.2,
