"",BBSF2.M.1.T.00000.REN01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Bonds funds / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:29,
2009-09,7785,
2009-10,7857,
2009-11,8296,
2009-12,8727,
2010-01,8903,
2010-02,8997,
2010-03,9011,
2010-04,9648,
2010-05,9896,
2010-06,9802,
2010-07,9790,
2010-08,10441,
2010-09,10461,
2010-10,10896,
2010-11,11199,
2010-12,11514,
2011-01,10892,
2011-02,10935,
2011-03,10856,
2011-04,11501,
2011-05,11655,
2011-06,11691,
2011-07,11746,
2011-08,11208,
2011-09,10734,
2011-10,11110,
2011-11,11037,
2011-12,10934,
2012-01,11453,
2012-02,12049,
2012-03,11894,
2012-04,11986,
2012-05,10853,
2012-06,10929,
2012-07,11302,
2012-08,11616,
2012-09,11846,
2012-10,12073,
2012-11,12192,
2012-12,12554,
2013-01,13257,
2013-02,13593,
2013-03,13799,
2013-04,13771,
2013-05,13740,
2013-06,13257,
2013-07,13673,
2013-08,13469,
2013-09,14032,
2013-10,14309,
2013-11,16953,
2013-12,16741,
2014-01,16092,
2014-02,16695,
2014-03,16900,
2014-04,17284,
2014-05,17473,
2014-06,17465,
2014-07,21272,
2014-08,21316,
2014-09,21174,
2014-10,21540,
2014-11,21619,
