"",BBK01.OEXK04L,BBK01.OEXK04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:19,
2002-01,0.529,
2002-04,0.526,
2002-07,0.571,
2002-10,0.584,
2003-01,0.465,
2003-04,0.445,
2003-07,0.374,
2003-10,0.377,
2004-01,0.490,
2004-04,0.480,
2004-07,0.489,
2004-10,0.658,
2005-01,0.531,
2005-04,0.520,
2005-07,0.525,
2005-10,0.654,
2006-01,0.780,
2006-04,0.917,
2006-07,1.508,
2006-10,1.673,
2007-01,1.978,
2007-04,2.248,
2007-07,2.601,
2007-10,3.121,
2008-01,3.427,
2008-04,4.067,
2008-07,4.419,
2008-10,4.019,
2009-01,3.186,
2009-04,3.172,
2009-07,2.605,
2009-10,2.207,
2010-01,2.523,
2010-04,2.507,
2010-07,2.907,
2010-10,2.881,
2011-01,2.512,
2011-04,2.632,
2011-07,2.676,
2011-10,2.786,
2012-01,3.031,
2012-04,3.218,
2012-07,2.932,
2012-10,2.648,
2013-01,2.521,
2013-04,2.374,
2013-07,2.059,
2013-10,1.912,
2014-01,2.053,
2014-04,2.215,
2014-07,2.079,
