"",BBK01.OEBB02S,BBK01.OEBB02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:38,
2002-01,0.976,
2002-04,0.966,
2002-07,1.003,
2002-10,0.894,
2003-01,0.813,
2003-04,0.870,
2003-07,0.866,
2003-10,0.795,
2004-01,0.797,
2004-04,0.782,
2004-07,0.761,
2004-10,0.733,
2005-01,0.792,
2005-04,0.759,
2005-07,0.766,
2005-10,0.695,
2006-01,0.711,
2006-04,0.713,
2006-07,0.719,
2006-10,0.620,
2007-01,0.646,
2007-04,0.632,
2007-07,0.620,
2007-10,0.665,
2008-01,0.689,
2008-04,0.671,
2008-07,0.672,
2008-10,0.659,
2009-01,0.645,
2009-04,0.653,
2009-07,0.660,
2009-10,0.603,
2010-01,0.603,
2010-04,0.619,
2010-07,0.577,
2010-10,0.573,
2011-01,0.530,
2011-04,0.586,
2011-07,0.561,
2011-10,0.582,
2012-01,0.561,
2012-04,0.552,
2012-07,0.544,
2012-10,0.561,
2013-01,0.523,
2013-04,0.564,
2013-07,0.604,
2013-10,0.574,
2014-01,0.608,
2014-04,0.676,
2014-07,0.666,
