"",BBSF2.M.1.S.00000.AKT01.I.F.SSD.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.SSD.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Borrowers' note loans,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:25,
2009-09,225,
2009-10,225,
2009-11,220,
2009-12,177,
2010-01,178,
2010-02,161,
2010-03,112,
2010-04,117,
2010-05,127,
2010-06,113,
2010-07,112,
2010-08,102,
2010-09,100,
2010-10,98,
2010-11,119,
2010-12,76,
2011-01,75,
2011-02,76,
2011-03,75,
2011-04,75,
2011-05,73,
2011-06,72,
2011-07,74,
2011-08,94,
2011-09,94,
2011-10,94,
2011-11,94,
2011-12,118,
2012-01,105,
2012-02,104,
2012-03,100,
2012-04,105,
2012-05,106,
2012-06,106,
2012-07,78,
2012-08,79,
2012-09,79,
2012-10,80,
2012-11,81,
2012-12,82,
2013-01,81,
2013-02,82,
2013-03,82,
2013-04,65,
2013-05,65,
2013-06,58,
2013-07,57,
2013-08,57,
2013-09,58,
2013-10,58,
2013-11,58,
2013-12,58,
2014-01,59,
2014-02,59,
2014-03,59,
2014-04,59,
2014-05,59,
2014-06,50,
2014-07,54,
2014-08,55,
2014-09,85,
2014-10,85,
2014-11,86,
